Finished setup, waiting to start, PID: p:0.02 i(x100):0.00 d(x10):1.00 iCap:10000
UPLoading
1.10 4.00 2.00 10.00 5.00 1.00 0.00 
DOWNSLOPE1051 x:-1.68 y:-0.04 z:1.15 acc:2.03 inst:3.97 dt:5
DOWNSLOPE1056 x:-1.68 y:-0.04 z:1.15 acc:2.03 inst:3.96 dt:5
DOWNSLOPE1061 x:-1.65 y:0.19 z:1.00 acc:1.94 inst:3.96 dt:5
DOWNSLOPE1066 x:-1.65 y:0.19 z:1.00 acc:1.94 inst:3.96 dt:5
DOWNSLOPE1071 x:-1.65 y:0.19 z:1.00 acc:1.94 inst:3.95 dt:5
DOWNSLOPE1077 x:-1.65 y:0.19 z:1.00 acc:1.94 inst:3.95 dt:6
DOWNSLOPE1082 x:-1.65 y:0.19 z:1.00 acc:1.94 inst:3.95 dt:5
DOWNSLOPE1087 x:-1.64 y:0.16 z:1.10 acc:1.98 inst:3.94 dt:5
DOWNSLOPE1092 x:-1.64 y:0.16 z:1.10 acc:1.98 inst:3.94 dt:5
DOWNSLOPE1097 x:-1.64 y:0.16 z:1.10 acc:1.98 inst:3.94 dt:5
DOWNSLOPE1102 x:-1.64 y:0.16 z:1.10 acc:1.98 inst:3.93 dt:5
DOWNSLOPE1108 x:-1.64 y:0.16 z:1.10 acc:1.98 inst:3.93 dt:6
DOWNSLOPE1113 x:-1.61 y:0.06 z:1.11 acc:1.95 inst:3.92 dt:5
DOWNSLOPE1119 x:-1.61 y:0.06 z:1.11 acc:1.95 inst:3.92 dt:6
DOWNSLOPE1124 x:-1.61 y:0.06 z:1.11 acc:1.95 inst:3.92 dt:5
DOWNSLOPE1129 x:-1.61 y:0.06 z:1.11 acc:1.95 inst:3.91 dt:5
DOWNSLOPE1134 x:-1.61 y:0.06 z:1.11 acc:1.95 inst:3.91 dt:5
DOWNSLOPE1139 x:-1.55 y:0.03 z:0.95 acc:1.82 inst:3.91 dt:5
DOWNSLOPE1144 x:-1.55 y:0.03 z:0.95 acc:1.82 inst:3.90 dt:5
DOWNSLOPE1149 x:-1.55 y:0.03 z:0.95 acc:1.82 inst:3.90 dt:5
DOWNSLOPE1154 x:-1.55 y:0.03 z:0.95 acc:1.82 inst:3.90 dt:5
DOWNSLOPE1160 x:-1.50 y:-0.05 z:1.09 acc:1.85 inst:3.89 dt:6
DOWNSLOPE1165 x:-1.50 y:-0.05 z:1.09 acc:1.85 inst:3.89 dt:5
DOWNSLOPE1170 x:-1.50 y:-0.05 z:1.09 acc:1.85 inst:3.89 dt:5
DOWNSLOPE1176 x:-1.50 y:-0.05 z:1.09 acc:1.85 inst:3.88 dt:6
DOWNSLOPE1181 x:-1.50 y:-0.05 z:1.09 acc:1.85 inst:3.88 dt:5
DOWNSLOPE1186 x:-1.52 y:0.08 z:1.11 acc:1.88 inst:3.88 dt:5
DOWNSLOPE1191 x:-1.52 y:0.08 z:1.11 acc:1.88 inst:3.87 dt:5
DOWNSLOPE1196 x:-1.52 y:0.08 z:1.11 acc:1.88 inst:3.87 dt:5
DOWNSLOPE1201 x:-1.52 y:0.08 z:1.11 acc:1.88 inst:3.87 dt:5
DOWNSLOPE1207 x:-1.52 y:0.08 z:1.11 acc:1.88 inst:3.86 dt:6
DOWNSLOPE1212 x:-1.55 y:0.12 z:1.07 acc:1.89 inst:3.86 dt:5
DOWNSLOPE1217 x:-1.55 y:0.12 z:1.07 acc:1.89 inst:3.86 dt:5
DOWNSLOPE1222 x:-1.55 y:0.12 z:1.07 acc:1.89 inst:3.85 dt:5
