Finished setup, waiting to start, PID: p:0.02 i(x100):0.30 d(x10):0.01 iCap:500
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
8	1.09	1.00	0.49
60	1.17	1.02	0.47
118	1.09	1.05	0.50
177	1.19	1.07	0.49
230	1.19	1.09	0.49
289	1.11	1.12	0.52
311	1.07	1.12	0.52
323	1.07	1.13	0.53
371	1.18	1.15	0.50
417	1.13	1.17	0.49
478	1.11	1.19	0.54
509	1.30	1.20	0.37
569	1.10	1.23	0.48
624	1.11	1.25	0.55
646	1.10	1.26	0.56
658	1.10	1.26	0.56
675	1.15	1.27	0.52
735	1.34	1.29	0.54
778	1.26	1.31	0.57
791	1.38	1.32	0.45
847	1.56	1.34	0.46
898	1.10	1.36	0.58
910	1.10	1.36	0.58
931	1.13	1.37	0.58
945	0.98	1.38	0.59
957	0.98	1.38	0.59
984	1.05	1.39	0.59
1013	1.11	1.41	0.56
1043	1.11	1.42	0.60
1056	1.11	1.42	0.60
1070	1.11	1.43	0.60
1082	1.11	1.43	0.60
1118	1.17	1.45	0.58
1170	1.29	1.47	0.55
1221	1.33	1.49	0.61
1233	1.31	1.49	0.63
1246	1.31	1.50	0.61
1259	1.25	1.50	0.61
1271	1.25	1.51	0.61
1285	1.22	1.51	0.61
1298	1.22	1.52	0.62
1311	1.18	1.52	0.62
1324	1.18	1.53	0.62
1337	1.16	1.53	0.62
1350	1.16	1.54	0.62
1377	1.19	1.55	0.62
1434	1.30	1.57	0.63
1447	1.30	1.58	0.63
1460	1.26	1.58	0.63
1473	1.26	1.59	0.63
1491	1.28	1.60	0.63
1504	1.28	1.60	0.63
1516	1.28	1.61	0.63
1530	1.29	1.61	0.64
1542	1.29	1.62	0.64
1573	1.36	1.63	0.64
1586	1.36	1.63	0.64
1599	1.33	1.64	0.64
1612	1.33	1.64	0.64
1633	1.37	1.65	0.63
1664	1.39	1.67	0.64
1677	1.38	1.67	0.65
1689	1.38	1.68	0.65
1712	1.40	1.68	0.65
1725	1.37	1.69	0.65
1737	1.37	1.69	0.65
1751	1.36	1.70	0.65
1763	1.36	1.71	0.65
1790	1.39	1.72	0.66
1815	1.42	1.73	0.66
1838	1.37	1.74	0.66
1851	1.35	1.74	0.66
1863	1.35	1.75	0.66
1906	1.47	1.76	0.66
1925	1.44	1.77	0.67
1937	1.44	1.77	0.67
1950	1.40	1.78	0.67
1964	1.40	1.79	0.67
1977	1.40	1.79	0.67
1989	1.40	1.80	0.67
2003	1.39	1.80	0.67
2015	1.39	1.81	0.67
2028	1.41	1.81	0.68
2039	1.41	1.82	0.68
2057	1.47	1.82	0.68
2070	1.47	1.83	0.68
2082	1.47	1.83	0.68
2108	1.51	1.84	0.68
2121	1.50	1.85	0.68
2134	1.50	1.85	0.68
2160	1.53	1.86	0.68
2186	1.57	1.87	0.69
2199	1.54	1.88	0.69
2211	1.50	1.88	0.73
2225	1.50	1.89	0.69
2237	1.48	1.89	0.70
2250	1.48	1.90	0.69
2268	1.50	1.91	0.69
2280	1.50	1.91	0.69
2307	1.57	1.92	0.70
2342	1.61	1.94	0.70
2354	1.61	1.94	0.70
2366	1.61	1.95	0.70
2378	1.61	1.95	0.70
2397	1.64	1.96	0.70
2409	1.55	1.96	0.70
2422	1.55	1.97	0.70
2435	1.50	1.97	0.71
2447	1.50	1.98	0.71
2460	1.51	1.98	0.71
2473	1.51	1.99	0.71
2499	1.59	2.00	0.71
2526	1.65	2.01	0.71
2538	1.65	2.02	0.71
2551	1.66	2.02	0.71
2564	1.66	2.03	0.71
2581	1.71	2.03	0.68
2607	1.73	2.04	0.72
2619	1.73	2.05	0.72
2632	1.69	2.05	0.72
2644	1.69	2.06	0.72
2662	1.71	2.06	0.72
2684	1.74	2.07	0.72
2701	1.72	2.08	0.72
2713	1.72	2.09	0.72
2727	1.67	2.09	0.73
2739	1.67	2.10	0.73
2752	1.66	2.10	0.73
2764	1.66	2.11	0.73
2782	1.68	2.11	0.73
2794	1.75	2.12	0.66
2829	1.75	2.13	0.73
2841	1.75	2.14	0.73
2855	1.68	2.14	0.74
2867	1.74	2.15	0.68
2915	1.83	2.17	0.72
2936	1.82	2.17	0.74
2958	1.84	2.18	0.74
2989	1.87	2.20	0.76
3002	1.87	2.20	0.74
3014	1.82	2.21	0.75
3028	1.82	2.21	0.75
3040	1.76	2.22	0.75
3052	1.76	2.22	0.75
3074	1.80	2.23	0.75
3092	1.79	2.24	0.75
3104	1.79	2.24	0.75
3118	1.77	2.25	0.75
3130	1.77	2.25	0.76
3143	1.78	2.26	0.76
3156	1.78	2.26	0.76
3196	1.88	2.28	0.76
3208	1.88	2.28	0.76
3221	1.89	2.29	0.76
3233	1.91	2.29	0.74
3250	1.91	2.30	0.76
3263	1.85	2.31	0.76
3276	1.85	2.31	0.77
3310	1.85	2.32	0.77
3328	1.85	2.33	0.77
3341	1.84	2.34	0.77
3354	1.84	2.34	0.77
3367	1.85	2.35	0.77
3379	1.82	2.35	0.80
3392	1.82	2.36	0.77
3405	1.94	2.36	0.67
3443	1.93	2.38	0.78
3457	1.91	2.38	0.78
3469	1.91	2.39	0.78
3482	1.87	2.39	0.78
3495	1.87	2.40	0.78
3512	1.89	2.40	0.78
3525	1.98	2.41	0.69
3560	1.94	2.42	0.78
3572	1.94	2.43	0.79
3590	1.99	2.44	nan
3603	1.97	2.44	0.79
3615	1.97	2.45	0.79
3629	1.95	2.45	0.79
3641	1.95	2.46	0.79
3667	1.99	2.47	0.79
3689	2.07	2.48	0.79
3702	2.04	2.48	0.79
3715	2.04	2.49	0.79
3729	2.01	2.49	0.80
3741	2.01	2.50	0.80
3754	2.00	2.50	0.80
3766	2.00	2.51	0.80
3779	2.01	2.51	0.80
3793	2.00	2.52	0.81
3806	2.00	2.52	0.80
3818	2.06	2.53	0.75
3848	2.08	2.54	0.80
3861	2.08	2.54	0.80
3901	2.21	2.56	0.80
3912	2.21	2.56	nan
3926	2.19	2.57	0.81
3938	2.15	2.58	0.85
3951	2.15	2.58	0.81
3965	2.14	2.59	0.81
3977	2.14	2.59	0.81
3990	2.14	2.60	0.81
4002	2.14	2.60	0.81
4016	2.12	2.61	0.81
4028	2.12	2.61	0.82
4041	2.14	2.62	0.82
4053	2.14	2.62	0.82
4075	2.20	2.63	0.82
4088	2.17	2.64	0.82
4101	2.17	2.64	0.82
4122	2.20	2.65	0.82
4140	2.24	2.66	0.82
4153	2.24	2.66	0.82
4170	2.27	2.67	0.82
4184	2.22	2.67	0.82
4196	2.22	2.68	0.83
4209	2.18	2.68	0.83
4223	2.18	2.69	0.83
4240	2.21	2.70	0.83
4251	2.21	2.70	0.83
4269	2.27	2.71	0.83
4282	2.28	2.71	0.82
4295	2.28	2.72	0.83
4308	2.36	2.72	0.77
4338	2.38	2.74	nan
4351	2.38	2.74	0.83
4364	2.36	2.75	0.83
4376	2.36	2.75	nan
4390	2.32	2.76	0.84
4402	2.32	2.76	0.84
4415	2.31	2.77	0.84
4427	2.34	2.77	0.81
4450	2.34	2.78	0.84
4461	2.35	2.78	0.84
4474	2.35	2.79	0.84
4487	2.34	2.79	0.84
4499	2.34	2.80	0.84
4518	2.41	2.81	0.84
4543	2.45	2.82	0.85
4556	2.42	2.82	nan
4569	2.42	2.83	0.85
4582	2.39	2.83	0.85
4594	2.39	2.84	0.85
4608	2.40	2.84	0.85
4620	2.40	2.85	nan
4633	2.40	2.85	0.85
4646	2.40	2.86	0.85
4658	2.44	2.86	0.85
4670	2.44	2.87	0.85
4688	2.48	2.88	0.85
4701	2.48	2.88	0.86
4713	2.48	2.89	0.86
4726	2.45	2.89	0.86
4739	2.45	2.90	0.86
4751	2.45	2.90	0.86
4763	2.45	2.91	0.86
4795	2.61	2.92	0.86
4807	2.61	2.92	0.86
4821	2.56	2.93	0.86
4833	2.56	2.93	0.86
4846	2.49	2.94	0.87
4858	2.49	2.94	0.87
4871	2.43	2.95	0.87
4883	2.43	2.95	0.87
4910	2.50	2.96	0.87
4931	2.58	2.97	0.87
4945	2.59	2.98	0.87
4957	2.59	2.98	nan
4970	2.52	2.99	0.87
4982	2.52	2.99	0.87
5000	2.55	3.00	0.88
5013	2.40	3.01	0.88
5025	2.40	3.03	nan
5066	2.50	3.07	0.89
5080	2.50	3.08	0.89
5093	2.50	3.09	0.89
5105	2.50	3.11	0.89
5123	2.56	3.12	0.90
5137	2.55	3.14	0.90
5149	2.55	3.15	0.90
5164	2.56	3.16	0.90
5176	2.56	3.18	0.91
5189	2.56	3.19	nan
5203	2.56	3.20	0.91
5215	2.59	3.22	nan
5228	2.65	3.23	0.88
5246	2.65	3.25	0.91
5271	2.73	3.27	0.92
5294	2.77	3.29	0.92
5311	2.80	3.31	0.92
5323	2.80	3.32	nan
5337	2.80	3.34	0.93
5350	2.66	3.35	1.00
5363	2.66	3.36	0.93
5377	2.70	3.38	0.94
5389	2.70	3.39	0.94
5416	2.77	3.42	0.94
5430	2.73	3.43	0.94
5442	2.73	3.44	0.95
5456	2.71	3.46	0.95
5468	2.71	3.47	0.95
5494	2.84	3.49	0.97
5508	2.84	3.51	0.95
5521	2.86	3.52	0.95
5537	2.86	3.54	0.96
5556	2.89	3.56	0.96
5569	2.92	3.57	0.94
5587	2.92	3.59	0.96
5600	2.91	3.60	0.97
5613	2.91	3.61	0.97
5627	2.90	3.63	0.97
5639	2.90	3.64	0.97
5652	2.91	3.65	0.98
5664	2.91	3.66	0.98
5678	2.95	3.68	0.98
5691	2.89	3.69	0.98
5704	2.89	3.70	0.98
5722	2.91	3.72	0.99
5734	2.91	3.73	0.99
5771	3.08	3.77	0.99
5783	3.08	3.78	0.99
5797	2.97	3.80	1.00
5810	2.97	3.81	1.00
5827	3.03	3.83	1.00
5846	3.07	3.85	1.00
5858	3.07	3.86	1.00
5875	3.17	3.88	1.00
5889	3.21	3.89	1.01
5902	3.21	3.90	1.01
5919	3.25	3.92	1.01
5932	3.18	3.93	1.08
5945	3.18	3.95	1.02
5972	3.12	3.97	1.02
5959	3.12	3.96	1.02
5986	3.13	3.99	1.02
5998	3.13	4.00	1.02
6025	3.22	4.03	1.03
6061	3.31	4.06	1.03
6073	3.31	4.07	1.03
6086	3.28	4.09	1.04
6100	3.28	4.10	1.04
6112	3.27	4.11	1.04
6125	3.27	4.13	1.04
6139	3.28	4.14	1.04
6151	3.28	4.15	1.05
6165	3.24	4.17	1.05
6177	3.24	4.18	1.05
6191	3.23	4.19	1.05
6204	3.26	4.20	1.05
6221	3.26	4.22	1.06
6235	3.26	4.24	1.06
6247	3.26	4.25	1.06
6273	3.39	4.27	1.06
6287	3.41	4.29	1.06
6299	3.41	4.30	1.07
6313	3.42	4.31	1.07
6326	3.42	4.33	1.07
6339	3.43	4.34	1.07
6353	3.41	4.35	1.07
6366	3.41	4.37	1.08
6379	3.46	4.38	1.08
6392	3.46	4.39	1.08
6406	3.47	4.41	1.08
6419	3.47	4.42	1.08
6432	3.46	4.43	1.08
6446	3.46	4.45	1.09
6463	3.53	4.46	1.09
6481	3.58	4.48	1.09
6493	3.58	4.49	1.09
6507	3.54	4.51	1.09
6519	3.54	4.52	1.10
6533	3.60	4.53	1.10
6545	3.58	4.55	1.12
6558	3.58	4.56	1.10
6573	3.56	4.57	1.10
6585	3.56	4.59	1.10
6608	3.64	4.61	1.11
6621	3.74	4.62	1.04
6642	3.74	4.64	1.11
6660	3.84	4.66	1.11
6672	3.84	4.67	1.11
6684	3.84	4.68	1.11
6707	3.90	4.71	1.12
6720	3.91	4.72	1.12
6732	3.91	4.73	nan
6746	3.83	4.75	1.12
6758	3.83	4.76	1.12
6771	3.80	4.77	1.13
6785	3.80	4.78	1.13
6798	3.81	4.80	1.13
6811	3.81	4.81	1.13
6825	3.73	4.82	1.14
6837	3.73	4.84	1.14
6855	3.78	4.86	1.14
6869	3.84	4.87	1.11
6889	3.84	4.89	1.14
6902	3.78	4.90	1.15
6916	3.81	4.92	1.12
6929	3.81	4.93	1.15
6942	3.82	4.94	1.15
6955	3.82	4.96	1.15
6973	3.87	4.97	1.16
6985	3.87	4.99	1.16
6999	3.95	5.00	nan
7011	3.95	5.01	1.16
7034	4.14	5.03	1.16
7047	4.09	5.05	1.16
7059	4.09	5.06	1.16
7072	4.08	5.07	nan
7084	4.08	5.08	1.17
7097	4.15	5.10	1.17
7110	4.15	5.11	1.17
7133	4.29	5.13	1.17
7154	4.36	5.15	1.17
7168	4.30	5.17	1.17
7180	4.30	5.18	1.18
7194	4.27	5.19	1.18
7207	4.27	5.21	1.18
7220	4.33	5.22	1.18
7233	4.27	5.23	1.25
7247	4.27	5.25	1.19
7264	4.33	5.26	1.19
7276	4.33	5.28	1.19
7288	4.35	5.29	1.19
7302	4.35	5.30	1.19
7315	4.37	5.32	1.19
7327	4.37	5.33	1.20
7341	4.40	5.34	1.20
7354	4.45	5.35	1.15
7371	4.45	5.37	1.20
7394	4.52	5.39	1.20
7415	4.60	5.42	1.20
7430	4.59	5.43	1.21
7442	4.59	5.44	1.21
7455	4.58	5.46	1.21
7469	4.58	5.47	1.21
7481	4.52	5.48	1.21
7494	4.52	5.49	1.22
7508	4.47	5.51	1.22
7520	4.47	5.52	nan
7533	4.49	5.53	1.22
7546	4.49	5.55	1.22
7568	4.58	5.57	1.23
7585	4.64	5.59	1.23
7599	4.68	5.60	1.19
7616	4.68	5.62	1.23
7629	4.69	5.63	1.23
7643	4.69	5.64	1.23
7656	4.66	5.66	1.24
7669	4.66	5.67	1.24
7686	4.74	5.69	1.24
7708	4.86	5.71	1.23
7727	4.79	5.73	1.24
7739	4.79	5.74	1.24
7752	4.78	5.75	1.25
7766	4.78	5.77	1.25
7792	4.89	5.79	1.25
7806	4.81	5.81	1.25
7819	4.78	5.82	1.26
7831	4.78	5.83	1.26
7849	4.84	5.85	1.26
7862	4.84	5.86	1.26
7883	4.91	5.88	1.26
7897	4.89	5.90	1.26
7909	4.89	5.91	1.27
7936	5.00	5.94	1.27
7957	5.07	5.96	1.27
7970	5.02	5.97	1.27
7984	5.02	5.98	1.27
7997	5.00	6.00	1.28
8009	5.00	6.01	1.28
8023	5.03	6.02	1.28
8036	5.06	6.04	1.25
8049	5.06	6.05	1.28
8063	5.07	6.06	1.28
8075	5.07	6.07	1.29
8091	5.15	6.09	1.28
8109	5.19	6.11	1.25
8127	5.19	6.13	1.29
8140	5.22	6.14	1.29
8153	5.22	6.15	1.29
8167	5.24	6.17	1.29
8179	5.24	6.18	1.30
8193	5.26	6.19	1.30
8205	5.26	6.21	1.30
8223	5.40	6.22	1.30
8237	5.35	6.24	1.30
8249	5.35	6.25	1.30
8262	5.35	6.26	1.30
8276	5.35	6.28	1.31
8288	5.38	6.29	1.31
8300	5.38	6.30	1.31
8319	5.42	6.32	1.31
8332	5.42	6.33	1.31
8344	5.42	6.34	1.31
