Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 15000 20000 
346 x:0.14 y:0.15 z:1.03 acc:1.05 inst:1.38 dt:9 timee:1000 pComp:0.10 iComp:-0.04 dComp:0.00 FF:nan PID:0.06
355 x:0.10 y:0.16 z:1.05 acc:1.07 inst:1.42 dt:9 timee:1000 pComp:0.11 iComp:-0.04 dComp:0.00 FF:nan PID:0.07
364 x:0.10 y:0.16 z:1.05 acc:1.07 inst:1.46 dt:9 timee:1000 pComp:0.12 iComp:-0.04 dComp:0.00 FF:nan PID:0.08
374 x:0.10 y:0.16 z:1.05 acc:1.07 inst:1.50 dt:10 timee:1000 pComp:0.13 iComp:-0.04 dComp:0.00 FF:nan PID:0.10
384 x:0.07 y:0.19 z:1.06 acc:1.08 inst:1.54 dt:10 timee:1000 pComp:0.14 iComp:-0.04 dComp:0.00 FF:nan PID:0.11
393 x:0.07 y:0.19 z:1.06 acc:1.08 inst:1.57 dt:9 timee:1000 pComp:0.15 iComp:-0.03 dComp:0.00 FF:nan PID:0.12
402 x:0.07 y:0.19 z:1.06 acc:1.08 inst:1.61 dt:9 timee:1000 pComp:0.16 iComp:-0.03 dComp:0.00 FF:nan PID:0.13
412 x:0.07 y:0.21 z:1.06 acc:1.08 inst:1.65 dt:10 timee:1000 pComp:0.17 iComp:-0.03 dComp:0.00 FF:nan PID:0.14
422 x:0.07 y:0.21 z:1.06 acc:1.08 inst:1.69 dt:10 timee:1000 pComp:0.18 iComp:-0.03 dComp:0.00 FF:nan PID:0.16
431 x:0.07 y:0.23 z:1.06 acc:1.08 inst:1.72 dt:9 timee:1000 pComp:0.19 iComp:-0.03 dComp:0.00 FF:nan PID:0.17
440 x:0.07 y:0.23 z:1.06 acc:1.08 inst:1.76 dt:9 timee:1000 pComp:0.20 iComp:-0.03 dComp:0.00 FF:nan PID:0.18
449 x:0.07 y:0.23 z:1.06 acc:1.08 inst:1.80 dt:9 timee:1000 pComp:0.21 iComp:-0.02 dComp:0.00 FF:nan PID:0.19
460 x:0.06 y:0.23 z:1.06 acc:1.09 inst:1.84 dt:11 timee:1000 pComp:0.23 iComp:-0.02 dComp:0.00 FF:nan PID:0.21
469 x:0.06 y:0.23 z:1.06 acc:1.09 inst:1.88 dt:9 timee:1000 pComp:0.24 iComp:-0.02 dComp:0.00 FF:nan PID:0.22
478 x:0.06 y:0.21 z:1.06 acc:1.08 inst:1.91 dt:9 timee:1000 pComp:0.25 iComp:-0.02 dComp:0.00 FF:nan PID:0.24
487 x:0.06 y:0.21 z:1.06 acc:1.08 inst:1.95 dt:9 timee:1000 pComp:0.26 iComp:-0.01 dComp:0.00 FF:nan PID:0.25
497 x:0.06 y:0.21 z:1.06 acc:1.08 inst:1.99 dt:10 timee:1000 pComp:0.27 iComp:-0.01 dComp:0.00 FF:nan PID:0.26
507 x:0.07 y:0.19 z:1.06 acc:1.08 inst:2.03 dt:10 timee:1000 pComp:0.29 iComp:-0.01 dComp:0.00 FF:nan PID:0.28
516 x:0.07 y:0.19 z:1.06 acc:1.08 inst:2.06 dt:9 timee:1000 pComp:0.30 iComp:-0.01 dComp:0.00 FF:nan PID:0.29
526 x:0.08 y:0.19 z:1.06 acc:1.08 inst:2.10 dt:10 timee:1000 pComp:0.31 iComp:-0.00 dComp:0.00 FF:nan PID:0.31
535 x:0.08 y:0.19 z:1.06 acc:1.08 inst:2.14 dt:9 timee:1000 pComp:0.32 iComp:-0.00 dComp:0.00 FF:nan PID:0.32
545 x:0.08 y:0.19 z:1.06 acc:1.08 inst:2.18 dt:10 timee:1000 pComp:0.33 iComp:0.00 dComp:0.00 FF:nan PID:0.34
554 x:0.05 y:0.19 z:1.06 acc:1.08 inst:2.22 dt:9 timee:1000 pComp:0.34 iComp:0.01 dComp:0.00 FF:nan PID:0.35
563 x:0.05 y:0.19 z:1.06 acc:1.08 inst:2.25 dt:9 timee:1000 pComp:0.35 iComp:0.01 dComp:0.00 FF:nan PID:0.36
572 x:0.05 y:0.19 z:1.06 acc:1.08 inst:2.29 dt:9 timee:1000 pComp:0.36 iComp:0.01 dComp:0.00 FF:nan PID:0.38
582 x:0.05 y:0.20 z:1.05 acc:1.07 inst:2.33 dt:10 timee:1000 pComp:0.38 iComp:0.02 dComp:0.00 FF:nan PID:0.40
592 x:0.05 y:0.20 z:1.05 acc:1.07 inst:2.37 dt:10 timee:1000 pComp:0.39 iComp:0.02 dComp:0.00 FF:nan PID:0.41
601 x:0.07 y:0.19 z:1.06 acc:1.08 inst:2.40 dt:9 timee:1000 pComp:0.40 iComp:0.02 dComp:0.00 FF:nan PID:0.42
610 x:0.07 y:0.19 z:1.06 acc:1.08 inst:2.44 dt:9 timee:1000 pComp:0.41 iComp:0.03 dComp:0.00 FF:nan PID:0.44
619 x:0.07 y:0.19 z:1.06 acc:1.08 inst:2.48 dt:9 timee:1000 pComp:0.42 iComp:0.03 dComp:0.00 FF:nan PID:0.45
629 x:0.08 y:0.16 z:1.06 acc:1.08 inst:2.52 dt:10 timee:1000 pComp:0.43 iComp:0.03 dComp:0.00 FF:nan PID:0.47
639 x:0.08 y:0.16 z:1.06 acc:1.08 inst:2.56 dt:10 timee:1000 pComp:0.44 iComp:0.04 dComp:0.00 FF:nan PID:0.49
648 x:0.09 y:0.17 z:1.07 acc:1.08 inst:2.59 dt:9 timee:1000 pComp:0.45 iComp:0.04 dComp:0.00 FF:nan PID:0.50
657 x:0.09 y:0.17 z:1.07 acc:1.08 inst:2.63 dt:9 timee:1000 pComp:0.46 iComp:0.05 dComp:0.00 FF:nan PID:0.51
666 x:0.09 y:0.17 z:1.07 acc:1.08 inst:2.66 dt:9 timee:1000 pComp:0.47 iComp:0.05 dComp:0.00 FF:nan PID:0.53
676 x:0.10 y:0.20 z:1.10 acc:1.12 inst:2.70 dt:10 timee:1000 pComp:0.47 iComp:0.06 dComp:0.00 FF:nan PID:0.53
685 x:0.10 y:0.20 z:1.10 acc:1.12 inst:2.74 dt:9 timee:1000 pComp:0.48 iComp:0.06 dComp:0.00 FF:nan PID:0.55
695 x:0.09 y:0.20 z:1.08 acc:1.11 inst:2.78 dt:10 timee:1000 pComp:0.50 iComp:0.07 dComp:0.01 FF:nan PID:0.57
704 x:0.09 y:0.20 z:1.08 acc:1.11 inst:2.82 dt:9 timee:1000 pComp:0.51 iComp:0.07 dComp:0.00 FF:nan PID:0.59
714 x:0.09 y:0.20 z:1.08 acc:1.11 inst:2.86 dt:10 timee:1000 pComp:0.52 iComp:0.07 dComp:0.00 FF:nan PID:0.60
723 x:0.09 y:0.21 z:1.08 acc:1.10 inst:2.89 dt:9 timee:1000 pComp:0.54 iComp:0.08 dComp:0.00 FF:nan PID:0.62
732 x:0.09 y:0.21 z:1.08 acc:1.10 inst:2.93 dt:9 timee:1000 pComp:0.55 iComp:0.08 dComp:0.00 FF:nan PID:0.64
741 x:0.09 y:0.21 z:1.08 acc:1.10 inst:2.96 dt:9 timee:1000 pComp:0.56 iComp:0.09 dComp:0.00 FF:nan PID:0.65
751 x:0.09 y:0.22 z:1.06 acc:1.09 inst:3.00 dt:10 timee:1000 pComp:0.57 iComp:0.10 dComp:0.01 FF:nan PID:0.68
761 x:0.09 y:0.22 z:1.06 acc:1.09 inst:3.04 dt:10 timee:1000 pComp:0.59 iComp:0.10 dComp:0.00 FF:nan PID:0.69
770 x:0.09 y:0.15 z:1.08 acc:1.09 inst:3.08 dt:9 timee:1000 pComp:0.60 iComp:0.11 dComp:0.00 FF:nan PID:0.71
779 x:0.09 y:0.15 z:1.08 acc:1.09 inst:3.12 dt:9 timee:1000 pComp:0.61 iComp:0.11 dComp:0.00 FF:nan PID:0.72
788 x:0.09 y:0.15 z:1.08 acc:1.09 inst:3.15 dt:9 timee:1000 pComp:0.62 iComp:0.12 dComp:0.00 FF:0.15 PID:0.74
799 x:0.09 y:0.14 z:1.10 acc:1.12 inst:3.20 dt:11 timee:1000 pComp:0.62 iComp:0.12 dComp:0.00 FF:0.20 PID:0.75
808 x:0.09 y:0.14 z:1.10 acc:1.12 inst:3.23 dt:9 timee:1000 pComp:0.63 iComp:0.13 dComp:0.00 FF:0.23 PID:0.77
817 x:0.10 y:0.18 z:1.07 acc:1.09 inst:3.27 dt:9 timee:1000 pComp:0.65 iComp:0.14 dComp:0.01 FF:0.25 PID:0.80
826 x:0.10 y:0.18 z:1.07 acc:1.09 inst:3.30 dt:9 timee:1000 pComp:0.67 iComp:0.14 dComp:0.00 FF:0.26 PID:0.81
835 x:0.10 y:0.18 z:1.07 acc:1.09 inst:3.34 dt:9 timee:1000 pComp:0.68 iComp:0.15 dComp:0.00 FF:0.27 PID:0.83
846 x:0.10 y:0.19 z:1.05 acc:1.07 inst:3.38 dt:11 timee:1000 pComp:0.69 iComp:0.16 dComp:0.01 FF:0.29 PID:0.85
