Finished setup, waiting to start, PID: p:0 i(x100):0 d(x10):0
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
1.10 4.00 2.00 10.00 5.00 0.00 0.00 
 x:32.94 p:2.88 dt:0.18 a:17.16 c1:141.55 c2:10.29 c3:-151.73
 x:32.86 p:2.88 dt:0.18 a:17.16 c1:140.21 c2:9.99 c3:-151.73
 x:32.94 p:2.88 dt:0.18 a:17.16 c1:141.55 c2:10.29 c3:-151.73
 x:32.90 p:2.88 dt:0.18 a:17.16 c1:140.88 c2:10.14 c3:-151.73
 x:32.90 p:2.88 dt:0.18 a:17.16 c1:140.88 c2:10.14 c3:-151.73
 x:32.94 p:2.88 dt:0.18 a:17.16 c1:141.55 c2:10.29 c3:-151.73
 x:32.92 p:2.88 dt:0.18 a:17.16 c1:141.22 c2:10.21 c3:-151.73
 x:32.92 p:2.88 dt:0.18 a:17.16 c1:141.22 c2:10.21 c3:-151.73
 x:32.94 p:2.88 dt:0.18 a:17.16 c1:141.55 c2:10.29 c3:-151.73
 x:32.93 p:2.88 dt:0.18 a:17.16 c1:141.38 c2:10.25 c3:-151.73
 x:32.93 p:2.88 dt:0.18 a:17.16 c1:141.38 c2:10.25 c3:-151.73
 x:32.94 p:2.88 dt:0.18 a:17.16 c1:141.55 c2:10.29 c3:-151.73
==================32.93
224 x:0.08 y:0.22 z:1.05 acc:1.08 inst:1.75 dt:176 timee:1000 pComp:0.00 iComp:0.00 dComp:0.00 FF:1.03 PID:1.03
 x:32.93 p:3.45 dt:0.18 a:22.34 c1:141.38 c2:0.00 c3:-260.71
 x:42.93 p:3.45 dt:0.18 a:22.34 c1:408.41 c2:33.11 c3:-260.71
 x:37.93 p:3.45 dt:0.18 a:22.34 c1:248.87 c2:8.28 c3:-260.71
 x:37.93 p:3.45 dt:0.18 a:22.34 c1:248.87 c2:8.28 c3:-260.71
 x:42.93 p:3.45 dt:0.18 a:22.34 c1:408.41 c2:33.11 c3:-260.71
 x:40.43 p:3.45 dt:0.18 a:22.34 c1:321.27 c2:18.62 c3:-260.71
 x:37.93 p:3.45 dt:0.18 a:22.34 c1:248.87 c2:8.28 c3:-260.71
 x:40.43 p:3.45 dt:0.18 a:22.34 c1:321.27 c2:18.62 c3:-260.71
 x:39.18 p:3.45 dt:0.18 a:22.34 c1:283.34 c2:12.93 c3:-260.71
 x:37.93 p:3.45 dt:0.18 a:22.34 c1:248.87 c2:8.28 c3:-260.71
 x:39.18 p:3.45 dt:0.18 a:22.34 c1:283.34 c2:12.93 c3:-260.71
 x:38.55 p:3.45 dt:0.18 a:22.34 c1:265.69 c2:10.48 c3:-260.71
 x:37.93 p:3.45 dt:0.18 a:22.34 c1:248.87 c2:8.28 c3:-260.71
 x:38.55 p:3.45 dt:0.18 a:22.34 c1:265.69 c2:10.48 c3:-260.71
 x:38.24 p:3.45 dt:0.18 a:22.34 c1:257.18 c2:9.34 c3:-260.71
 x:37.93 p:3.45 dt:0.18 a:22.34 c1:248.87 c2:8.28 c3:-260.71
 x:38.24 p:3.45 dt:0.18 a:22.34 c1:257.18 c2:9.34 c3:-260.71
