Finished setup, waiting to start, PID: p:0.02 i(x100):0.03 d(x10):1.00 iCap:1000
UPLoading
1.10 4.00 2.00 10.00 5.00 1.00 0.00 
0 1000 4000 10000 12000 15000 20000 
NO_BISECT[nan]0	1.08	0.00	nan	1	1
NO_BISECT[0.82]2	1.08	1.11	0.88	1	1
NO_BISECT[0.83]5	1.08	1.11	0.83	1	1
8	1.08	1.12	0.83	1	1
14	1.08	1.14	0.83	1	1
21	1.07	1.16	0.84	1	1
29	1.07	1.18	0.84	1	1
35	1.07	1.20	0.85	1	1
42	1.08	1.22	0.86	1	1
49	1.08	1.24	0.87	1	1
56	1.08	1.26	0.88	1	1
62	1.08	1.28	0.89	1	1
70	0.94	1.30	0.90	1	1
76	0.94	1.32	0.91	1	1
NO_BISECT[0.91]83	0.94	1.34	0.92	1	1
NO_BISECT[0.91]86	0.94	1.35	0.93	1	1
NO_BISECT[0.92]89	0.94	1.36	0.93	1	1
NO_BISECT[0.92]93	1.02	1.37	0.93	1	1
NO_BISECT[0.92]96	1.0294]108	1.02	1.41	0.95	1	1
NO_BISECT[0.94]111	1.	1	1
NO_BISECT[0.93]102	1.02	1.40	0.94	1	1
NO_BISECT[0.93]105	1.02	1.40	0.95	1	1
NO_BISECT[0.	1.38	0.94	1	1
NO_BISECT[0.93]99	1.02	1.39	0.9402	1.42	0.96	1	1
NO_BISECT[0.95]116	0.57	1.44	0.98	1	1
NO_BISECT[0.95]119	0.57	1.45	0.97	1	1
NO_BISECT[0.95]122	0.57	1.45	0.98	1	1
NO_BISECT[0.95]125	0.57	1.46	0.98	1	1
NO_BISECT[0.96]128	0.57	1.47	0.99	1	1
NO_BISECT[0.96]131	0.57	1.48	0.99	1	1
NO_BISECT[0.96]135	0.57	1.49	1.00	1	1
NO_BISECT[0.97]138	0.57	1.50	1.00	1	1
NO_BISECT[0.97]141	0.35	1.51	1.02	1	1
NO_BISECT[0.97]144	0.35	1.52	1.01	1	1
NO_BISECT[0.98]147	0.35	1.53	1.02	1	1
NO_BISECT[0.98]150	0.35	1.54	1.02	1	1
NO_BISECT[0.98]155	0.35	1.55	1.03	1	1
NO_BISECT[0.99]158	0.35	1.56	1.03	1	1
NO_BISECT[0.99]161	0.35	1.57	1.04	1	1
NO_BISECT[0.99]164	0.88	1.58	1.01	1	1
NO_BISECT[0.99]167	0.88	1.58	1.03	1	1
NO_BISECT[1.00]171	0.88	1.60	1.04	1	1
NO_BISECT[1.00]174	0.88	1.60	1.04	1	1
NO_BISECT[1.00]177	0.88	1.61	1.05	1	1
NO_BISECT[1.01]180	0.88	1.62	1.05	1	1
NO_BISECT[1.01]183	0.88	1.63	1.05	1	1
NO_BISECT[1.01]186	0.88	1.64	1.06	1	1
NO_BISECT[1.02]189	1.34	1.65	1.03	1	1
NO_BISECT[1.02]193	1.34	1.66	1.05	1	1
NO_BISECT[1.02]196	1.34	1.67	1.06	1	1
NO_BISECT[1.03]200	1.34	1.68	1.06	1	1
NO_BISECT[1.03]203	1.34	1.69	1.07	1	1
NO_BISECT[1.03]206	1.34	1.70	1.07	1	1
NO_BISECT[1.03]209	1.34	1.71	1.07	1	1
NO_BISECT[1.04]213	1.44	1.72	1.07	1	1
NO_BISECT[1.04]215	1.44	1.72	1.08	1	1
NO_BISECT[1.04]219	1.44	1.74	1.08	1	1
NO_BISECT[1.05]222	1.44	1.74	1.08	1	1
NO_BISECT[1.05]225	1.44	1.75	1.09	1	1
NO_BISECT[1.05]228	1.44	1.76	1.09	1	1
NO_BISECT[1.05]231	1.44	1.77	1.09	1	1
NO_BISECT[1.06]234	1.44	1.78	1.10	1	1
NO_BISECT[1.06]238	1.57	1.79	1.09	1	1
NO_BISECT[1.06]242	1.57	1.80	1.10	1	1
NO_BISECT[1.07]245	1.57	1.81	1.10	1	1
NO_BISECT[1.07]248	1.57	1.82	1.11	1	1
NO_BISECT[1.07]251	1.57	1.83	1.11	1	1
NO_BISECT[1.07]254	1.57	1.84	1.11	1	1
NO_BISECT[1.08]257	1.57	1.85	1.12	1	1
NO_BISECT[1.08]261	1.19	1.86	1.14	1	1
NO_BISECT[1.08]264	1.19	1.87	1.13	1	1
NO_BISECT[1.09]267	1.19	1.87	1.14	1	1
NO_BISECT[1.09]270	1.19	1.88	1.14	1	1
NO_BISECT[1.09]273	1.19	1.89	1.14	1	1
NO_BISECT[1.09]276	1.19	1.90	1.15	1	1
NO_BISECT[1.10]280	1.19	1.91	1.15	1	1
NO_BISECT[1.10]284	1.19	1.92	1.15	1	1
NO_BISECT[1.10]287	1.00	1.93	1.17	1	1
NO_BISECT[1.10]290	1.00	1.94	1.17	1	1
NO_BISECT[1.11]294	1.00	1.95	1.17	1	1
NO_BISECT[1.11]297	1.00	1.96	1.17	1	1
NO_BISECT[1.11]300	1.00	1.97	1.18	1	1
NO_BISECT[1.12]303	1.00	1.98	1.18	1	1
NO_BISECT[1.12]306	1.00	1.99	1.18	1	1
