Finished setup, waiting to start, PID: p:0.20 i(x100):0.03 d(x10):10
UPLoading
1.10 4.00 2.00 10.00 5.00 1.00 0.00 
0 1000 4000 10000 12000 15000 20000 
NO_BISECT[nan]0	1.09	0.00	nan
NO_BISECT[0.82]2	1.09	1.11	1.38
NO_BISECT[0.82]4	1.09	1.11	0.83
NO_BISECT[0.83]7	1.09	1.12	0.84
NO_BISECT[0.83]10	1.09	1.13	0.84
NO_BISECT[0.83]13	1.09	1.14	0.85
NO_BISECT[0.84]16	1.09	1.15	0.85
NO_BISECT[0.84]19	1.09	1.16	0.86
NO_BISECT[0.84]22	1.08	1.16	0.87
NO_BISECT[0.85]25	1.08	1.17	0.87
NO_BISECT[0.85]28	1.08	1.18	0.87
NO_BISECT[0.86]32	1.08	1.19	0.88
NO_BISECT[0.86]35	1.08	1.201
NO_BISECT[0.87]49	1.07	1.24	0.91
NO_BISECT[0.88]52	1.07	1.25	0.92
NO_BISECT[0.88]55	1.07	1.08	1.22	0.90
NO_BISECT[0.87]46	1.07	1.23	0.9.26	0.92
NO_BISECT[0.88]58	1.07	1.27	0.93
NO_BISECT[0.89]61	1.07	1.28	0.93
NO_BISECT[0.89]64ECT[0.86]40	1.08	1.22	0.90
NO_BISECT[0.87]43	1	0.89
NO_BISECT[0.86]38	1.08	1.21	0.89
NO_BIS	1.07	1.29	0.94
NO_BISECT[0.89]66	1.07	1.29	0.94
NO_BISECT[0.90]69	1.55	1.30	0.69
73	1.55	1.31	0.66
80	1.55	1.33	0.63
86	1.55	1.35	0.61
93	1.55	1.37	0.59
99	1.62	1.39	0.56
105	1.62	1.40	0.53
112	1.62	1.42	0.51
120	1.84	1.45	0.43
126	1.84	1.47	0.37
132	1.84	1.48	0.32
139	1.84	1.50	0.27
145	1.74	1.52	0.26
152	1.74	1.54	0.24
159	1.74	1.56	0.23
166	1.74	1.58	0.22
173	1.57	1.60	0.27
179	1.57	1.62	0.29
185	1.57	1.64	0.33
192	1.39	1.66	0.43
199	1.39	1.68	0.51
206	1.39	1.70	0.59
213	1.39	1.72	0.68
220	1.31	1.74	0.80
226	1.31	1.76	0.91
232	1.31	1.77	1.02
239	1.31	1.79	1.13
NO_BISECT[1.07]246	1.24	1.81	1.20
NO_BISECT[1.07]249	1.24	1.82	1.19
NO_BISECT[1.07]252	1.24	1.83	1.20
NO_BISECT[1.07]255	1.24	1.84	1.20
NO_BISECT[1.08]258	1.24	1.85	1.21
NO_BISECT[1.08]261	1.24	1.86	1.21
NO_BISECT[1.08]264	1.31	1.87	1.18
NO_BISECT[1.09]267	1.31	1.87	1.21
NO_BISECT[1.09]270	1.31	1.88	1.21
NO_BISECT[1.09]273	1.31	1.89	1.22
NO_BISECT[1.09]276	1.31	1.90	1.22
NO_BISECT[1.10]279	1.31	1.91	1.23
NO_BISECT[1.10]282	1.31	1.92	1.23
NO_BISECT[1.10]286	1.31	1.93	1.24
NO_BISECT[1.10]289	1.39	1.94	1.20
NO_BISECT[1.11]292	1.39	1.95	1.23
NO_BISECT[1.11]295	1.39	1.96	1.24
NO_BISECT[1.11]298	1.39	1.96	1.24
NO_BISECT[1.11]301	1.39	1.97	1.24
NO_BISECT[1.12]304	1.39	1.98	1.25
NO_BISECT[1.12]307	1.39	1.99	1.25
NO_BISECT[1.12]310	1.39	2.00	1.26
NO_BISECT[1.12]313	1.97	2.01	0.95
316	1.97	2.02	0.99
322	1.97	2.03	1.03
330	1.97	2.06	1.08
336	1.97	2.07	1.13
342	1.89	2.09	1.20
NO_BISECT[1.15]349	1.89	2.11	1.21
NO_BISECT[1.16]352	1.89	2.12	1.22
NO_BISECT[1.16]355	1.89	2.13	1.22
NO_BISECT[1.16]358	1.89	2.14	1.23
NO_BISECT[1.16]361	1.89	2.15	1.23
NO_BISECT[1.17]364	1.73	2.16	1.32
NO_BISECT[1.17]367	1.73	2.16	1.27
NO_BISECT[1.17]370	1.73	2.17	1.28
NO_BISECT[1.17]374	1.73	2.18	1.28
NO_BISECT[1.18]377	1.73	2.19	1.29
NO_BISECT[1.18]380	1.73	2.20	1.29
NO_BISECT[1.18]383	1.73	2.21	1.30
NO_BISECT[1.18]386	1.92	2.22	1.20
NO_BISECT[1.19]389	1.92	2.23	1.27
NO_BISECT[1.19]392	1.92	2.24	1.27
NO_BISECT[1.19]395	1.92	2.25	1.28
NO_BISECT[1.19]398	1.92	2.25	1.28
NO_BISECT[1.20]401	1.92	2.26	1.29
NO_BISECT[1.20]403	1.92	2.27	1.29
NO_BISECT[1.20]406	1.92	2.28	1.29
NO_BISECT[1.20]410	1.77	2.29	1.37
NO_BISECT[1.21]414	1.77	2.30	1.34
NO_BISECT[1.21]417	1.77	2.31	1.34
NO_BISECT[1.21]420	1.77	2.32	1.35
NO_BISECT[1.21]423	1.77	2.33	1.35
NO_BISECT[1.21]426	1.77	2.34	1.35
NO_BISECT[1.22]428	1.77	2.34	1.36
NO_BISECT[1.22]431	1.77	2.35	1.36
NO_BISECT[1.22]434	1.77	2.36	1.37
NO_BISECT[1.22]438	1.08	2.37	1.68
NO_BISECT[1.23]441	1.08	2.38	1.52
NO_BISECT[1.23]444	1.08	2.39	1.52
NO_BISECT[1.23]447	1.08	2.40	1.53
NO_BISECT[1.23]450	1.08	2.41	1.53
NO_BISECT[1.23]452	1.08	2.41	1.53
NO_BISECT[1.24]455	1.08	2.42	1.54
NO_BISECT[1.24]459	1.08	2.43	1.55
NO_BISECT[1.24]462	1.08	2.44	1.55
NO_BISECT[1.24]466	1.33	2.45	1.45
NO_BISECT[1.25]468	1.33	2.46	1.51
NO_BISECT[1.25]471	1.33	2.47	1.52
NO_BISECT[1.25]474	1.33	2.47	1.52
NO_BISECT[1.25]477	1.33	2.48	1.53
NO_BISECT[1.26]480	1.33	2.49	1.53
NO_BISECT[1.26]483	1.33	2.50	1.54
NO_BISECT[1.26]486	1.33	2.51	1.54
NO_BISECT[1.26]489	1.39	2.52	1.52
NO_BISECT[1.26]492	1.39	2.53	1.54
NO_BISECT[1.27]495	1.39	2.54	1.55
NO_BISECT[1.27]498	1.39	2.54	1.55
NO_BISECT[1.27]502	1.39	2.56	1.56
NO_BISECT[1.27]505	1.39	2.56	1.56
NO_BISECT[1.28]508	1.39	2.57	1.57
NO_BISECT[1.28]511	1.39	2.58	1.57
NO_BISECT[1.28]514	1.65	2.59	1.43
NO_BISECT[1.28]517	1.65	2.60	1.53
NO_BISECT[1.28]520	1.65	2.61	1.53
NO_BISECT[1.29]523	1.65	2.62	1.54
NO_BISECT[1.29]526	1.65	2.63	1.54
NO_BISECT[1.29]529	1.65	2.63	1.55
NO_BISECT[1.29]532	1.65	2.64	1.55
NO_BISECT[1.30]535	1.65	2.65	1.56
NO_BISECT[1.30]538	1.73	2.66	1.52
NO_BISECT[1.30]542	1.73	2.67	1.55
NO_BISECT[1.30]545	1.73	2.68	1.56
NO_BISECT[1.30]548	1.73	2.69	1.56
NO_BISECT[1.31]551	1.73	2.70	1.57
NO_BISECT[1.31]554	1.73	2.71	1.57
NO_BISECT[1.31]557	1.73	2.72	1.58
NO_BISECT[1.31]560	1.73	2.72	1.58
NO_BISECT[1.32]563	2.07	2.73	1.41
NO_BISECT[1.32]566	2.07	2.74	1.52
NO_BISECT[1.32]569	2.07	2.75	1.53
NO_BISECT[1.32]572	2.07	2.76	1.53
NO_BISECT[1.32]575	2.07	2.77	1.54
NO_BISECT[1.33]578	2.07	2.78	1.54
NO_BISECT[1.33]581	2.07	2.78	1.55
NO_BISECT[1.33]585	2.07	2.80	1.55
NO_BISECT[1.33]588	2.02	2.81	1.58
NO_BISECT[1.34]591	2.02	2.81	1.57
NO_BISECT[1.34]594	2.02	2.82	1.57
NO_BISECT[1.34]597	2.02	2.83	1.58
NO_BISECT[1.34]600	2.02	2.84	1.58
NO_BISECT[1.34]603	2.02	2.85	1.59
NO_BISECT[1.35]606	2.02	2.86	1.59
NO_BISECT[1.35]608	2.02	2.86	1.60
NO_BISECT[1.35]612	1.94	2.87	1.64
NO_BISECT[1.35]615	1.94	2.88	1.62
NO_BISECT[1.35]617	1.94	2.89	1.63
NO_BISECT[1.36]620	1.94	2.90	1.63
NO_BISECT[1.36]623	1.94	2.91	1.64
NO_BISECT[1.36]626	1.94	2.92	1.64
NO_BISECT[1.36]630	1.94	2.93	1.65
NO_BISECT[1.36]633	1.94	2.94	1.65
NO_BISECT[1.37]636	2.19	2.94	1.52
NO_BISECT[1.37]639	2.19	2.95	1.61
NO_BISECT[1.37]642	2.19	2.96	1.61
NO_BISECT[1.37]645	2.19	2.97	1.62
NO_BISECT[1.37]648	2.19	2.98	1.62
NO_BISECT[1.38]651	2.19	2.99	1.63
NO_BISECT[1.38]654	2.19	3.00	1.63
NO_BISECT[1.38]657	2.19	3.01	1.64
NO_BISECT[1.38]660	1.93	3.01	1.78
NO_BISECT[1.38]663	1.93	3.02	1.70
NO_BISECT[1.39]666	1.93	3.03	1.70
NO_BISECT[1.39]670	1.93	3.04	1.71
NO_BISECT[1.39]673	1.93	3.05	1.71
NO_BISECT[1.39]676	1.93	3.06	1.72
NO_BISECT[1.40]679	1.93	3.07	1.72
NO_BISECT[1.40]682	1.93	3.08	1.73
NO_BISECT[1.40]685	2.11	3.09	1.63
NO_BISECT[1.40]688	2.11	3.10	1.70
NO_BISECT[1.40]691	2.11	3.10	1.71
NO_BISECT[1.41]694	2.11	3.11	1.71
NO_BISECT[1.41]697	2.11	3.12	1.71
NO_BISECT[1.41]700	2.11	3.13	1.72
NO_BISECT[1.41]703	2.11	3.14	1.72
NO_BISECT[1.41]706	2.11	3.15	1.73
NO_BISECT[1.41]709	2.62	3.16	1.46
NO_BISECT[1.42]713	2.62	3.17	1.64
NO_BISECT[1.42]716	2.62	3.18	1.64
NO_BISECT[1.42]719	2.62	3.19	1.65
NO_BISECT[1.42]722	2.62	3.19	1.65
NO_BISECT[1.43]725	2.62	3.20	1.65
