Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
0.00 4.00 2.00 10.00 5.00 150000.00 0.00 
0 1000 4000 10000 12000 17000 0 
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 150000.00 0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 17000 0 1000 4000 10000 12000 15000 20000 
Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 15000 20000 
315 x:0.10 y:0.20 z:1.07 acc:1.10 inst:1.26 dt:10 timee:1000 pComp:0.05 iComp:-0.04 dComp:0.00 FF:nan PID:nan
324 x:0.10 y:0.19 z:1.09 acc:1.12 inst:1.30 dt:9 timee:1000 pComp:0.05 iComp:-0.04 dComp:0.00 FF:nan PID:nan
333 x:0.10 y:0.19 z:1.09 acc:1.12 inst:1.33 dt:9 timee:1000 pComp:0.07 iComp:-0.04 dComp:0.00 FF:nan PID:nan
343 x:0.10 y:0.19 z:1.09 acc:1.12 inst:1.37 dt:10 timee:1000 pComp:0.08 iComp:-0.04 dComp:0.00 FF:nan PID:nan
352 x:0.10 y:0.19 z:1.09 acc:1.11 inst:1.41 dt:9 timee:1000 pComp:0.09 iComp:-0.04 dComp:0.00 FF:nan PID:nan
361 x:0.10 y:0.19 z:1.09 acc:1.11 inst:1.44 dt:9 timee:1000 pComp:0.10 iComp:-0.04 dComp:0.00 FF:nan PID:nan
371 x:0.13 y:0.16 z:1.11 acc:1.13 inst:1.48 dt:10 timee:1000 pComp:0.11 iComp:-0.04 dComp:0.00 FF:nan PID:nan
381 x:0.13 y:0.16 z:1.11 acc:1.13 inst:1.52 dt:10 timee:1000 pComp:0.12 iComp:-0.04 dComp:0.00 FF:nan PID:nan
390 x:0.13 y:0.16 z:1.11 acc:1.13 inst:1.56 dt:9 timee:1000 pComp:0.13 iComp:-0.04 dComp:0.00 FF:nan PID:nan
399 x:0.14 y:0.17 z:1.10 acc:1.12 inst:1.60 dt:9 timee:1000 pComp:0.14 iComp:-0.04 dComp:0.00 FF:nan PID:nan
408 x:0.14 y:0.17 z:1.10 acc:1.12 inst:1.63 dt:9 timee:1000 pComp:0.15 iComp:-0.04 dComp:0.00 FF:nan PID:nan
418 x:0.12 y:0.16 z:1.07 acc:1.09 inst:1.67 dt:10 timee:1000 pComp:0.17 iComp:-0.03 dComp:0.01 FF:nan PID:nan
428 x:0.12 y:0.16 z:1.07 acc:1.09 inst:1.71 dt:10 timee:1000 pComp:0.19 iComp:-0.03 dComp:0.00 FF:nan PID:nan
437 x:0.12 y:0.16 z:1.07 acc:1.09 inst:1.75 dt:9 timee:1000 pComp:0.20 iComp:-0.03 dComp:0.00 FF:nan PID:nan
446 x:0.11 y:0.18 z:1.08 acc:1.10 inst:1.78 dt:9 timee:1000 pComp:0.21 iComp:-0.03 dComp:0.00 FF:nan PID:nan
455 x:0.11 y:0.18 z:1.08 acc:1.10 inst:1.82 dt:9 timee:1000 pComp:0.22 iComp:-0.03 dComp:0.00 FF:nan PID:nan
465 x:0.11 y:0.19 z:1.08 acc:1.10 inst:1.86 dt:10 timee:1000 pComp:0.23 iComp:-0.02 dComp:0.00 FF:nan PID:nan
474 x:0.11 y:0.19 z:1.08 acc:1.10 inst:1.90 dt:9 timee:1000 pComp:0.24 iComp:-0.02 dComp:0.00 FF:nan PID:nan
484 x:0.11 y:0.19 z:1.08 acc:1.10 inst:1.94 dt:10 timee:1000 pComp:0.25 iComp:-0.02 dComp:0.00 FF:nan PID:nan
493 x:0.11 y:0.18 z:1.07 acc:1.09 inst:1.97 dt:9 timee:1000 pComp:0.26 iComp:-0.02 dComp:0.01 FF:nan PID:nan
502 x:0.11 y:0.18 z:1.07 acc:1.09 inst:2.01 dt:9 timee:1000 pComp:0.28 iComp:-0.02 dComp:0.00 FF:nan PID:nan
512 x:0.11 y:0.18 z:1.07 acc:1.09 inst:2.05 dt:10 timee:1000 pComp:0.29 iComp:-0.01 dComp:0.00 FF:nan PID:nan
521 x:0.10 y:0.17 z:1.06 acc:1.08 inst:2.08 dt:9 timee:1000 pComp:0.30 iComp:-0.01 dComp:0.01 FF:nan PID:nan
530 x:0.10 y:0.17 z:1.06 acc:1.08 inst:2.12 dt:9 timee:1000 pComp:0.31 iComp:-0.01 dComp:0.00 FF:nan PID:nan
540 x:0.08 y:0.18 z:1.07 acc:1.09 inst:2.16 dt:10 timee:1000 pComp:0.32 iComp:-0.00 dComp:0.00 FF:nan PID:nan
549 x:0.08 y:0.18 z:1.07 acc:1.09 inst:2.20 dt:9 timee:1000 pComp:0.33 iComp:-0.00 dComp:0.00 FF:nan PID:nan
559 x:0.08 y:0.18 z:1.07 acc:1.09 inst:2.24 dt:10 timee:1000 pComp:0.35 iComp:0.00 dComp:0.00 FF:nan PID:nan
568 x:0.09 y:0.18 z:1.08 acc:1.10 inst:2.27 dt:9 timee:1000 pComp:0.35 iComp:0.01 dComp:0.00 FF:nan PID:nan
577 x:0.09 y:0.18 z:1.08 acc:1.10 inst:2.31 dt:9 timee:1000 pComp:0.36 iComp:0.01 dComp:0.00 FF:nan PID:nan
586 x:0.09 y:0.18 z:1.08 acc:1.10 inst:2.34 dt:9 timee:1000 pComp:0.37 iComp:0.01 dComp:0.00 FF:nan PID:nan
596 x:0.09 y:0.18 z:1.07 acc:1.09 inst:2.38 dt:10 timee:1000 pComp:0.39 iComp:0.02 dComp:0.00 FF:nan PID:nan
605 x:0.09 y:0.18 z:1.07 acc:1.09 inst:2.42 dt:9 timee:1000 pComp:0.40 iComp:0.02 dComp:0.00 FF:nan PID:nan
614 x:0.12 y:0.14 z:1.12 acc:1.14 inst:2.46 dt:9 timee:1000 pComp:0.40 iComp:0.02 dComp:-0.00 FF:nan PID:nan
623 x:0.12 y:0.14 z:1.12 acc:1.14 inst:2.49 dt:9 timee:1000 pComp:0.41 iComp:0.03 dComp:0.00 FF:nan PID:nan
632 x:0.12 y:0.14 z:1.12 acc:1.14 inst:2.53 dt:9 timee:1000 pComp:0.42 iComp:0.03 dComp:0.00 FF:nan PID:nan
643 x:0.11 y:0.17 z:1.09 acc:1.11 inst:2.57 dt:11 timee:1000 pComp:0.44 iComp:0.03 dComp:0.01 FF:nan PID:nan
652 x:0.11 y:0.17 z:1.09 acc:1.11 inst:2.61 dt:9 timee:1000 pComp:0.45 iComp:0.04 dComp:0.00 FF:nan PID:nan
661 x:0.11 y:0.18 z:1.08 acc:1.10 inst:2.64 dt:9 timee:1000 pComp:0.46 iComp:0.04 dComp:0.01 FF:nan PID:nan
670 x:0.11 y:0.18 z:1.08 acc:1.10 inst:2.68 dt:9 timee:1000 pComp:0.48 iComp:0.05 dComp:0.00 FF:nan PID:nan
680 x:0.11 y:0.18 z:1.08 acc:1.10 inst:2.72 dt:10 timee:1000 pComp:0.49 iComp:0.05 dComp:0.00 FF:nan PID:nan
689 x:0.11 y:0.19 z:1.06 acc:1.09 inst:2.76 dt:9 timee:1000 pComp:0.50 iComp:0.06 dComp:0.01 FF:nan PID:nan
698 x:0.11 y:0.19 z:1.06 acc:1.09 inst:2.79 dt:9 timee:1000 pComp:0.51 iComp:0.06 dComp:0.00 FF:nan PID:nan
707 x:0.11 y:0.19 z:1.06 acc:1.09 inst:2.83 dt:9 timee:1000 pComp:0.52 iComp:0.07 dComp:0.00 FF:nan PID:nan
716 x:0.13 y:0.20 z:1.04 acc:1.07 inst:2.86 dt:9 timee:1000 pComp:0.54 iComp:0.07 dComp:0.01 FF:nan PID:nan
726 x:0.13 y:0.20 z:1.04 acc:1.07 inst:2.90 dt:10 timee:1000 pComp:0.55 iComp:0.08 dComp:0.00 FF:nan PID:nan
