Finished setup, waiting to start
UPLoading
1.10 1.20 3.00 1.20 5.00 2.00 4.00 0.00 
0 5000 10000 15000 20000 25000 30000 35000 
347 x:0.07 y:0.20 z:1.07 acc:1.09 inst:1.11 dt:8 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
356 x:0.07 y:0.20 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
365 x:0.07 y:0.20 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
374 x:0.07 y:0.20 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
383 x:0.07 y:0.21 z:1.06 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
391 x:0.07 y:0.21 z:1.06 acc:1.09 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
400 x:0.07 y:0.21 z:1.06 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
409 x:0.07 y:0.20 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:-0.00 PID:0.01
418 x:0.07 y:0.20 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
427 x:0.07 y:0.20 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
435 x:0.08 y:0.21 z:1.05 acc:1.08 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
444 x:0.08 y:0.21 z:1.05 acc:1.08 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
452 x:0.09 y:0.20 z:1.06 acc:1.08 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:-0.00 PID:0.01
462 x:0.09 y:0.20 z:1.06 acc:1.08 inst:1.11 dt:10 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
