0	6.00	1.50
13678	5.73	6.00	1.60
13690	5.79	6.00	1.51
13701	5.79	6.00	1.51
13712	5.88	6.00	1.38
13723	5.88	6.00	1.38
13734	5.82	6.00	1.47
13745	5.82	6.00	1.47
13757	5.82	6.00	1.47
13768	5.82	6.00	nan
13779	5.82	6.00	1.47
13790	5.88	6.00	1.39
13802	5.88	6.00	1.39
13845	6.09	6.00	0.67
13889	5.93	6.00	nan
13900	5.93	6.00	1.30
13911	5.93	6.00	1.31
13921	5.93	6.00	nan
13934	5.92	6.00	1.32
13944	5.92	6.00	nan
13956	5.92	6.00	1.32
13968	5.92	6.00	1.32
13979	5.84	6.00	1.44
13990	5.84	6.00	1.44
14001	5.84	6.00	1.44
14013	5.90	6.00	1.35
14024	5.90	6.00	1.35
14036	6.00	6.00	1.20
14047	6.00	6.00	1.20
14059	5.96	6.00	nan
14070	5.96	6.00	1.27
14081	5.91	6.00	nan
14092	5.91	6.00	1.34
14112	5.88	6.00	nan
14123	5.86	6.00	1.41
14134	5.86	6.00	1.41
14146	5.86	6.00	1.41
14158	5.81	6.00	1.48
14169	5.81	6.00	1.48
14182	5.78	6.00	1.54
14193	5.78	6.00	1.54
14204	5.86	6.00	nan
14215	5.86	6.00	1.41
14228	5.91	6.00	1.34
14239	5.91	6.00	1.34
14250	5.98	6.00	1.23
14261	5.98	6.00	1.23
14273	5.97	6.00	1.24
14284	5.97	6.00	1.24
14295	5.87	6.00	1.40
14306	5.87	6.00	1.40
14318	5.87	6.00	1.40
14329	5.93	6.00	1.31
14340	5.93	6.00	1.31
14353	5.89	6.00	1.37
14364	5.89	6.00	1.37
14375	5.98	6.00	1.23
14386	5.98	6.00	1.23
14398	5.91	6.00	nan
14409	5.91	6.00	1.33
14420	5.98	6.00	1.24
14431	5.98	6.00	1.24
14443	5.98	6.00	1.24
14454	5.91	6.00	nan
14465	5.91	6.00	1.34
14476	5.82	6.00	nan
14488	5.82	6.00	1.47
14500	5.92	6.00	1.33
14510	5.92	6.00	1.33
14521	5.86	6.00	1.42
14533	5.86	6.00	1.42
14544	5.86	6.00	1.42
14555	5.73	6.00	nan
14567	5.73	6.00	1.60
14579	5.79	6.00	1.52
14590	5.79	6.00	1.52
14602	5.91	6.00	1.34
14613	5.91	6.00	nan
14625	5.86	6.00	1.41
14635	5.86	6.00	nan
14647	5.91	6.00	1.34
14658	5.91	6.00	nan
14674	6.06	6.00	1.01
14730	5.84	6.00	1.04
14751	5.87	6.00	1.40
14762	5.87	6.00	1.40
14773	5.88	6.00	nan
14785	5.88	6.00	1.38
14796	5.92	6.00	nan
14807	5.92	6.00	1.32
14819	5.93	6.00	1.31
14830	5.93	6.00	nan
14842	5.86	6.00	1.41
14852	5.86	6.00	nan
14864	5.89	6.00	nan
14875	5.89	6.00	1.37
14886	5.91	6.00	1.33
14897	5.91	6.00	1.33
14918	5.87	6.00	1.40
14929	5.87	6.00	1.40
14940	5.81	6.00	1.48
14952	5.81	6.00	1.48
14963	5.87	6.00	1.39
14974	5.87	6.00	1.39
14986	5.93	6.00	1.31
14998	5.93	6.00	1.31
15012	5.96	5.99	1.21
15027	5.96	5.97	1.20
15044	5.94	5.96	1.20
15059	6.01	5.94	1.18
15095	6.09	5.91	1.11
15100	6.09	5.90	1.11
15105	6.09	5.90	1.11
15112	6.01	5.89	1.11
15117	6.01	5.88	1.11
15123	6.01	5.88	1.11
15127	6.01	5.87	1.11
15132	5.85	5.87	1.11
15137	5.85	5.86	1.11
15142	5.85	5.86	1.11
15147	5.85	5.85	1.11
15151	5.85	5.85	1.11
15156	5.79	5.84	1.11
15161	5.79	5.84	1.11
15167	5.79	5.83	1.11
15171	5.79	5.83	1.11
15176	5.79	5.82	1.11
15181	5.84	5.82	1.11
15186	5.84	5.81	1.11
15190	5.84	5.81	1.11
15195	5.84	5.80	1.11
15200	5.84	5.80	1.11
15206	5.83	5.79	1.11
15210	5.83	5.79	1.11
15215	5.83	5.78	1.11
15220	5.83	5.78	1.11
15225	5.83	5.78	1.11
15229	5.78	5.77	1.11
15234	5.78	5.77	1.11
15239	5.78	5.76	1.11
15244	5.78	5.76	1.11
15249	5.78	5.75	1.11
15254	5.83	5.75	1.11
15259	5.83	5.74	1.11
15264	5.83	5.74	1.11
15268	5.83	5.73	1.11
15273	5.83	5.73	1.11
15278	5.62	5.72	1.11
15283	5.62	5.72	1.11
15287	5.62	5.71	1.11
15293	5.62	5.71	1.11
15298	5.62	5.70	1.11
15303	5.48	5.70	1.11
15307	5.48	5.69	1.11
15312	5.48	5.69	1.11
15316	5.48	5.68	1.11
15321	5.48	5.68	1.11
15326	5.32	5.67	1.11
15331	5.32	5.67	1.11
15336	5.32	5.66	1.11
15341	5.32	5.66	1.11
15346	5.32	5.65	1.11
15351	5.29	5.65	1.11
15355	5.29	5.65	1.11
15360	5.29	5.64	1.11
15365	5.29	5.64	1.11
15369	5.29	5.63	1.11
15374	5.29	5.63	1.11
15380	5.71	5.62	1.11
15385	5.71	5.61	1.11
15389	5.71	5.61	1.11
15394	5.71	5.61	1.11
15399	5.71	5.60	1.11
15404	5.66	5.60	1.11
15408	5.66	5.59	1.11
15413	5.66	5.59	1.11
15419	5.66	5.58	1.11
15423	5.66	5.58	1.11
15428	5.66	5.57	1.11
15433	5.68	5.57	1.11
15438	5.68	5.56	1.11
15442	5.68	5.56	1.11
15447	5.68	5.55	1.11
15452	5.68	5.55	1.11
15457	5.63	5.54	1.11
15462	5.63	5.54	1.11
15467	5.63	5.53	1.11
15472	5.63	5.53	1.11
15476	5.63	5.52	1.11
15481	5.55	5.52	1.11
15486	5.55	5.51	1.11
15491	5.55	5.51	1.11
15495	5.55	5.51	1.11
15500	5.55	5.50	1.11
15506	5.59	5.49	1.11
15511	5.59	5.49	1.11
15515	5.59	5.49	1.11
15520	5.59	5.48	1.11
15524	5.59	5.48	1.11
15529	5.52	5.47	1.11
15534	5.52	5.47	1.11
15539	5.52	5.46	1.11
15543	5.52	5.46	1.11
15549	5.52	5.45	1.11
15554	5.31	5.45	1.11
15559	5.31	5.44	1.11
15563	5.31	5.44	1.11
15568	5.31	5.43	1.11
15573	5.31	5.43	1.11
15578	5.16	5.42	1.11
15582	5.16	5.42	1.11
15587	5.16	5.41	1.11
15593	5.16	5.41	1.11
15597	5.16	5.40	1.11
15602	5.21	5.40	1.11
15607	5.21	5.39	1.11
15611	5.21	5.39	1.11
15616	5.21	5.38	1.11
15621	5.21	5.38	1.11
15626	5.10	5.37	1.11
15630	5.10	5.37	1.11
15636	5.10	5.36	1.11
15641	5.10	5.36	1.11
15645	5.10	5.36	1.11
15650	5.11	5.35	1.11
15655	5.11	5.34	1.11
15660	5.11	5.34	1.11
15664	5.11	5.34	1.11
15669	5.11	5.33	1.11
15675	5.11	5.32	1.11
15680	5.11	5.32	1.11
15684	5.11	5.32	1.11
15689	5.11	5.31	1.11
15694	5.11	5.31	1.11
15698	5.20	5.30	1.11
15703	5.20	5.30	1.11
15708	5.20	5.29	1.11
15712	5.20	5.29	1.11
15718	5.20	5.28	1.11
15723	5.16	5.28	1.11
15727	5.16	5.27	1.11
15732	5.16	5.27	1.11
15737	5.16	5.26	1.11
15741	5.16	5.26	1.11
15746	5.17	5.25	1.11
15751	5.17	5.25	1.11
15756	5.17	5.24	1.11
15761	5.17	5.24	1.11
15766	5.17	5.23	1.11
15771	5.20	5.23	1.11
15776	5.20	5.22	1.11
15780	5.20	5.22	1.11
15785	5.20	5.22	1.11
15790	5.20	5.21	1.11
15795	5.23	5.21	1.11
15799	5.23	5.20	1.11
15805	5.23	5.19	1.11
15810	5.23	5.19	1.11
5.18	1.11
15829	5.20	5.17	1.11
15819	5.20	5.18	1.11
15824	5.20	15833	5.20	5.17	1.11
15814	5.23	5.19	1.11
15838	5.20	5.16	1.11
15843	5.12	5.16	1.11
15849	5.12	5.15	1.11
15853	5.12	5.15	1.11
15858	5.12	5.14	1.11
15863	5.12	5.14	1.11
15868	5.10	5.13	1.11
15872	5.10	5.13	1.11
15877	5.10	5.12	1.11
15882	5.10	5.12	1.11
15886	5.10	5.11	1.11
15892	5.15	5.11	1.11
15897	5.15	5.10	1.11
15902	5.15	5.10	1.11
15906	5.15	5.09	1.11
15911	5.15	5.09	1.11
15915	5.15	5.09	1.11
15920	5.06	5.08	1.11
15925	5.06	5.07	1.11
15931	5.06	5.07	1.11
15935	5.06	5.07	1.11
15940	5.06	5.06	1.11
15945	5.05	5.05	1.11
15950	5.05	5.05	1.11
15954	5.05	5.05	1.11
15959	5.05	5.04	1.11
15964	5.05	5.04	1.11
15969	5.01	5.03	1.11
15974	5.01	5.03	1.11
15979	5.01	5.02	1.11
15984	5.01	5.02	1.11
15989	5.01	5.01	1.11
15993	5.00	5.01	1.11
15998	5.00	5.00	1.11
16003	5.00	5.00	1.11
16007	5.00	4.99	1.11
16012	5.00	4.99	1.11
16018	4.96	4.98	1.11
16023	4.96	4.98	1.11
16027	4.96	4.97	1.11
16032	4.96	4.97	1.11
16037	4.96	4.96	1.11
16042	4.90	4.96	1.11
16046	4.90	4.95	1.11
16051	4.90	4.95	1.11
16056	4.90	4.94	1.11
16061	4.90	4.94	1.11
16066	4.92	4.93	1.11
16071	4.92	4.93	1.11
16076	4.92	4.92	1.11
16080	4.92	4.92	1.11
16085	4.92	4.92	1.11
16090	4.98	4.91	1.11
16095	4.98	4.90	1.11
16099	4.98	4.90	1.11
16105	4.98	4.90	1.11
16110	4.98	4.89	1.11
16114	4.90	4.89	1.11
16119	4.90	4.88	1.11
16123	4.90	4.88	1.11
16128	4.90	4.87	1.11
16133	4.90	4.87	1.11
16138	4.88	4.86	1.11
16142	4.88	4.86	1.11
16148	4.88	4.85	1.11
16153	4.88	4.85	1.11
16157	4.88	4.84	1.11
16162	4.75	4.84	1.11
16167	4.75	4.83	1.11
16172	4.75	4.83	1.11
16176	4.75	4.82	1.11
16181	4.75	4.82	1.11
16187	4.84	4.81	1.11
16192	4.84	4.81	1.11
16196	4.84	4.80	1.11
16201	4.84	4.80	1.11
16206	4.84	4.79	1.11
16210	4.64	4.79	1.11
16215	4.64	4.78	1.11
16220	4.64	4.78	1.11
16224	4.64	4.78	1.11
16230	4.64	4.77	1.11
16235	4.44	4.76	1.11
16240	4.44	4.76	1.11
16244	4.44	4.76	1.11
16249	4.44	4.75	1.11
16254	4.44	4.75	1.11
16258	4.63	4.74	1.11
16263	4.63	4.74	1.11
16268	4.63	4.73	1.11
16273	4.63	4.73	1.11
16278	4.63	4.72	1.11
16283	4.78	4.72	1.11
16288	4.78	4.71	1.11
16292	4.78	4.71	1.11
16297	4.78	4.70	1.11
16302	4.78	4.70	1.11
16307	4.73	4.69	1.11
16311	4.73	4.69	1.11
16317	4.73	4.68	1.11
16321	4.73	4.68	1.11
16326	4.73	4.67	1.11
16331	4.68	4.67	1.11
16336	4.68	4.66	1.11
16340	4.68	4.66	1.11
16345	4.68	4.65	1.11
16350	4.68	4.65	1.11
16354	4.68	4.65	1.11
16360	4.53	4.64	1.11
16365	4.53	4.64	1.11
16370	4.53	4.63	1.11
16374	4.53	4.63	1.11
16379	4.53	4.62	1.11
16384	4.13	4.62	1.11
16388	4.13	4.61	1.11
16393	4.13	4.61	1.11
16398	4.13	4.60	1.11
16403	4.13	4.60	1.11
16408	4.02	4.59	1.11
16413	4.02	4.59	1.11
16418	4.02	4.58	1.11
16422	4.02	4.58	1.11
16427	4.02	4.57	1.11
16432	3.87	4.57	1.11
16436	3.87	4.56	1.11
16441	3.87	4.56	1.11
16447	3.87	4.55	1.11
16451	3.87	4.55	1.11
16456	3.85	4.54	1.11
16461	3.85	4.54	1.11
16466	3.85	4.53	1.11
16470	3.85	4.53	1.11
16475	3.85	4.53	1.11
16480	4.16	4.52	1.11
16485	4.16	4.51	1.11
16490	4.16	4.51	1.11
16495	4.16	4.51	1.11
16499	4.16	4.50	1.11
16504	4.26	4.50	1.11
16509	4.26	4.49	1.11
16514	4.26	4.49	1.11
16518	4.26	4.48	1.11
16523	4.26	4.48	1.11
16529	4.30	4.47	1.11
16533	4.30	4.47	1.11
16538	4.30	4.46	1.11
16543	4.30	4.46	1.11
16547	4.30	4.45	1.11
16552	4.35	4.45	1.11
16557	4.35	4.44	1.11
16561	4.35	4.44	1.11
16566	4.35	4.43	1.11
16572	4.35	4.43	1.11
16577	4.32	4.42	1.11
16581	4.32	4.42	1.11
16586	4.32	4.41	1.11
16591	4.32	4.41	1.11
16595	4.32	4.40	1.11
16600	4.35	4.40	1.11
16605	4.35	4.40	1.11
16610	4.35	4.39	1.11
16615	4.35	4.38	1.11
16620	4.35	4.38	1.11
16625	4.29	4.38	1.11
16630	4.29	4.37	1.11
16634	4.29	4.37	1.11
16639	4.29	4.36	1.11
16644	4.29	4.36	1.11
16648	4.29	4.35	1.11
16653	4.29	4.35	1.11
16659	4.29	4.34	1.11
16664	4.29	4.34	1.11
16668	4.29	4.33	1.11
16673	4.22	4.33	1.11
16678	4.22	4.32	1.11
16682	4.22	4.32	1.11
16687	4.22	4.31	1.11
16692	4.22	4.31	1.11
16697	4.21	4.30	1.11
16702	4.21	4.30	1.11
16707	4.21	4.29	1.11
16712	4.21	4.29	1.11
16716	4.21	4.28	1.11
16721	4.21	4.28	1.11
16726	4.22	4.27	1.11
16730	4.22	4.27	1.11
16735	4.22	4.26	1.11
16741	4.22	4.26	1.11
16745	4.22	4.26	1.11
16750	4.21	4.25	1.11
16755	4.21	4.25	1.11
16760	4.21	4.24	1.11
16764	4.21	4.24	1.11
16769	4.21	4.23	1.11
16774	4.17	4.23	1.11
16779	4.17	4.22	1.11
16784	4.17	4.22	1.11
16789	4.17	4.21	1.11
16794	4.17	4.21	1.11
16799	4.15	4.20	1.11
16803	4.15	4.20	1.11
16808	4.15	4.19	1.11
16813	4.15	4.19	1.11
16817	4.15	4.18	1.11
16822	4.13	4.18	1.11
16828	4.13	4.17	1.11
16833	4.13	4.17	1.11
16837	4.13	4.16	1.11
16842	4.13	4.16	1.11
16847	4.14	4.15	1.11
16852	4.14	4.15	1.11
16856	4.14	4.14	1.11
16861	4.14	4.14	1.11
16866	4.14	4.13	1.11
16872	4.14	4.13	1.11
16876	4.14	4.12	1.11
16881	4.14	4.12	1.11
16886	4.14	4.11	1.11
16890	4.14	4.11	1.11
16895	4.12	4.11	1.11
16900	4.12	4.10	1.11
16905	4.12	4.09	1.11
16909	4.12	4.09	1.11
16915	4.12	4.09	1.11
16920	4.13	4.08	1.11
16924	4.13	4.08	1.11
16929	4.13	4.07	1.11
16934	4.13	4.07	1.11
16938	4.13	4.06	1.11
16943	4.17	4.06	1.11
16948	4.17	4.05	1.11
16953	4.17	4.05	1.11
16958	4.17	4.04	1.11
16963	4.17	4.04	1.11
16968	4.09	4.03	1.11
16972	4.09	4.03	1.11
16977	4.09	4.02	1.11
16982	4.09	4.02	1.11
16987	4.09	4.01	1.11
16991	4.03	4.01	1.11
16997	4.03	4.00	1.11
