1497.50RPM, 1492.74avgRPM, 61202.50 sum, 41.00 points, 2.78V
1502.50RPM, 1492.98avgRPM, 62705.00 sum, 42.00 points, 2.78V
1507.50RPM, 1493.31avgRPM, 64212.50 sum, 43.00 points, 2.78V
1502.50RPM, 1493.52avgRPM, 65715.00 sum, 44.00 points, 2.78V
1487.50RPM, 1493.39avgRPM, 67202.50 sum, 45.00 points, 2.78V
1495.00RPM, 1493.42avgRPM, 68697.50 sum, 46.00 points, 2.78V
1550.00RPM, 1494.63avgRPM, 70247.50 sum, 47.00 points, 3.33V
1592.50RPM, 1496.67avgRPM, 71840.00 sum, 48.00 points, 3.33V
1620.00RPM, 1499.18avgRPM, 73460.00 sum, 49.00 points, 3.33V
1677.50RPM, 1502.75avgRPM, 75137.50 sum, 50.00 points, 3.33V
1665.00RPM, 1505.93avgRPM, 76802.50 sum, 51.00 points, 3.33V
1700.00RPM, 1509.66avgRPM, 78502.50 sum, 52.00 points, 3.33V
1665.00RPM, 1512.59avgRPM, 80167.50 sum, 53.00 points, 3.33V
1685.00RPM, 1515.79avgRPM, 81852.50 sum, 54.00 points, 3.33V
