C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


20500ms, 510.00RPM, 60.85avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.05] y[0.39] z[1.13] mag[1.20] 14.56 degrees
21000ms, 495.00RPM, 71.19avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.05] y[0.39] z[1.24] mag[1.30] 22.35 degrees
21500ms, 520.00RPM, 81.63avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.00] y[0.50] z[1.23] mag[1.33] 19.20 degrees
22000ms, 550.00RPM, 92.27avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.23] y[0.49] z[1.25] mag[1.37] 20.47 degrees
22500ms, 550.00RPM, 102.44avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.42] z[1.27] mag[1.34] 23.57 degrees
23000ms, 550.00RPM, 112.17avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.03] y[0.42] z[1.27] mag[1.34] 23.31 degrees
23500ms, 535.00RPM, 121.17avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.49] z[1.16] mag[1.26] 14.35 degrees
24000ms, 535.00RPM, 129.79avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.08] y[0.33] z[1.31] mag[1.36] 28.30 degrees
24500ms, 550.00RPM, 138.37avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.01] y[0.44] z[1.37] mag[1.44] 28.28 degrees
25000ms, 555.00RPM, 146.70avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.48] z[1.30] mag[1.39] 23.74 degrees
25500ms, 565.00RPM, 154.90avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.45] z[1.36] mag[1.43] 27.51 degrees
26000ms, 535.00RPM, 162.21avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.43] z[1.35] mag[1.42] 27.47 degrees
