1512.50RPM, 1497.22avgRPM, 26950.00 sum, 18.00 points, 2.78V
1485.00RPM, 1496.58avgRPM, 28435.00 sum, 19.00 points, 2.78V
1510.00RPM, 1497.25avgRPM, 29945.00 sum, 20.00 points, 2.78V
1490.00RPM, 1496.90avgRPM, 31435.00 sum, 21.00 points, 2.78V
1485.00RPM, 1496.36avgRPM, 32920.00 sum, 22.00 points, 2.78V
1480.00RPM, 1495.65avgRPM, 34400.00 sum, 23.00 points, 2.78V
1490.00RPM, 1495.42avgRPM, 35890.00 sum, 24.00 points, 2.78V
1492.50RPM, 1495.30avgRPM, 37382.50 sum, 25.00 points, 2.78V
1480.00RPM, 1494.71avgRPM, 38862.50 sum, 26.00 points, 2.78V
1492.50RPM, 1494.63avgRPM, 40355.00 sum, 27.00 points, 2.78V
