Finished setup, waiting to start, PID: p:0.02 i(x100):0.30 d(x10):0.01 iCap:100
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
NO_BS[nan]0 acc:1.09 inst:0.00 dt:0 pComp:-0.02 iComp:0.00 dComp:inf FF:nan PID:nan BRK_EN:DIS MTR_EN:YES
330 acc:1.07 inst:1.13 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]339 acc:1.07 inst:1.14 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]349 acc:1.08 inst:1.14 dt:10 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]359 acc:1.08 inst:1.14 dt:10 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]369 acc:1.08 inst:1.15 dt:10 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]378 acc:1.08 inst:1.15 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]387 acc:1.08 inst:1.15 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]397 acc:1.11 inst:1.16 dt:10 pComp:0.00 iComp:0.00 dComp:-0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
407 acc:1.11 inst:1.16 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]416 acc:1.10 inst:1.17 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]425 acc:1.10 inst:1.17 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]434 acc:1.10 inst:1.17 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]445 acc:1.08 inst:1.18 dt:11 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]454 acc:1.08 inst:1.18 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]464 acc:1.06 inst:1.19 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]473 acc:1.06 inst:1.19 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
