Finished setup, waiting to start, PID: p:1.50 i(x100):0.50 d(x1000):0.01 iCap:300
UPLoading
1.00 3.00 8.00 8.00 3.00 3.00 12.00 3.00 3.00 1.00 
0 5000 7000 9000 11000 14000 20000 24000 26000 31000 
24	1.09	1.01	0.23
80	1.10	1.03	0.09
141	1.04	1.06	0.16
202	1.12	1.08	0.17
264	1.10	1.11	0.40
320	1.12	1.13	0.47
342	1.10	1.14	0.56
358	1.10	1.14	0.57
372	1.05	1.15	0.65
386	1.05	1.15	0.66
401	1.09	1.16	0.62
415	1.09	1.17	0.63
430	1.15	1.17	0.55
445	1.15	1.18	0.55
459	1.15	1.18	0.56
486	1.45	1.19	0.13
538	1.14	1.22	0.63
553	1.15	1.22	0.63
569	1.16	1.23	0.62
582	1.16	1.23	0.63
597	1.09	1.24	0.75
612	1.09	1.24	0.76
626	1.15	1.25	0.68
