Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 15000 20000 
0 x:0.08 y:0.20 z:1.05 acc:1.07 inst:0.00 dt:0 timee:0 pComp:-0.32 iComp:0.00 dComp:inf FF:0.00 PID:0.00
176 x:0.09 y:0.24 z:1.06 acc:1.09 inst:0.70 dt:10 timee:1000 pComp:-0.12 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.00
186 x:0.09 y:0.20 z:1.08 acc:1.10 inst:0.74 dt:10 timee:1000 pComp:-0.11 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.00
195 x:0.09 y:0.20 z:1.08 acc:1.10 inst:0.78 dt:9 timee:1000 pComp:-0.10 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.00
205 x:0.09 y:0.19 z:1.08 acc:1.10 inst:0.82 dt:10 timee:1000 pComp:-0.08 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.00
215 x:0.09 y:0.19 z:1.08 acc:1.10 inst:0.86 dt:10 timee:1000 pComp:-0.07 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.00
225 x:0.09 y:0.19 z:1.08 acc:1.10 inst:0.90 dt:10 timee:1000 pComp:-0.06 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.00
234 x:0.09 y:0.20 z:1.08 acc:1.10 inst:0.94 dt:9 timee:1000 pComp:-0.05 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.00
243 x:0.09 y:0.20 z:1.08 acc:1.10 inst:0.97 dt:9 timee:1000 pComp:-0.04 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.00
254 x:0.09 y:0.20 z:1.07 acc:1.09 inst:1.02 dt:11 timee:1000 pComp:-0.02 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.00
263 x:0.09 y:0.20 z:1.07 acc:1.09 inst:1.05 dt:9 timee:1000 pComp:-0.01 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.00
273 x:0.09 y:0.20 z:1.07 acc:1.09 inst:1.09 dt:10 timee:1000 pComp:-0.00 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.00
282 x:0.12 y:0.19 z:1.08 acc:1.10 inst:1.13 dt:9 timee:1000 pComp:0.01 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.00
291 x:0.12 y:0.19 z:1.08 acc:1.10 inst:1.16 dt:9 timee:1000 pComp:0.02 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.00
302 x:0.12 y:0.20 z:1.07 acc:1.10 inst:1.21 dt:11 timee:1000 pComp:0.03 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.00
311 x:0.12 y:0.20 z:1.07 acc:1.10 inst:1.24 dt:9 timee:1000 pComp:0.04 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.00
320 x:0.12 y:0.20 z:1.07 acc:1.10 inst:1.28 dt:9 timee:1000 pComp:0.05 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.02
330 x:0.11 y:0.19 z:1.07 acc:1.09 inst:1.32 dt:10 timee:1000 pComp:0.07 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.03
340 x:0.11 y:0.19 z:1.07 acc:1.09 inst:1.36 dt:10 timee:1000 pComp:0.08 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.04
350 x:0.09 y:0.19 z:1.08 acc:1.10 inst:1.40 dt:10 timee:1000 pComp:0.09 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.05
359 x:0.09 y:0.19 z:1.08 acc:1.10 inst:1.44 dt:9 timee:1000 pComp:0.10 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.07
368 x:0.09 y:0.19 z:1.08 acc:1.10 inst:1.47 dt:9 timee:1000 pComp:0.11 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.08
378 x:0.07 y:0.19 z:1.08 acc:1.10 inst:1.51 dt:10 timee:1000 pComp:0.12 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.09
388 x:0.07 y:0.19 z:1.08 acc:1.10 inst:1.55 dt:10 timee:1000 pComp:0.13 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.10
397 x:0.07 y:0.19 z:1.08 acc:1.10 inst:1.59 dt:9 timee:1000 pComp:0.15 iComp:-0.04 dComp:0.00 FF:0.00 PID:0.11
407 x:0.09 y:0.20 z:1.09 acc:1.11 inst:1.63 dt:10 timee:1000 pComp:0.16 iComp:-0.03 dComp:0.00 FF:0.00 PID:0.12
416 x:0.09 y:0.20 z:1.09 acc:1.11 inst:1.66 dt:9 timee:1000 pComp:0.17 iComp:-0.03 dComp:0.00 FF:0.00 PID:0.14
426 x:0.09 y:0.21 z:1.09 acc:1.11 inst:1.70 dt:10 timee:1000 pComp:0.18 iComp:-0.03 dComp:0.00 FF:0.00 PID:0.15
435 x:0.09 y:0.21 z:1.09 acc:1.11 inst:1.74 dt:9 timee:1000 pComp:0.19 iComp:-0.03 dComp:0.00 FF:0.00 PID:0.16
445 x:0.09 y:0.21 z:1.09 acc:1.11 inst:1.78 dt:10 timee:1000 pComp:0.20 iComp:-0.03 dComp:0.00 FF:0.00 PID:0.18
454 x:0.09 y:0.21 z:1.07 acc:1.09 inst:1.82 dt:9 timee:1000 pComp:0.22 iComp:-0.03 dComp:0.01 FF:0.00 PID:0.20
463 x:0.09 y:0.21 z:1.07 acc:1.09 inst:1.85 dt:9 timee:1000 pComp:0.23 iComp:-0.02 dComp:0.00 FF:0.00 PID:0.21
474 x:0.08 y:0.21 z:1.05 acc:1.07 inst:1.90 dt:11 timee:1000 pComp:0.25 iComp:-0.02 dComp:0.01 FF:0.00 PID:0.23
483 x:0.08 y:0.21 z:1.05 acc:1.07 inst:1.93 dt:9 timee:1000 pComp:0.26 iComp:-0.02 dComp:0.00 FF:0.00 PID:0.24
492 x:0.08 y:0.21 z:1.05 acc:1.07 inst:1.97 dt:9 timee:1000 pComp:0.27 iComp:-0.02 dComp:0.00 FF:0.00 PID:0.26
502 x:0.08 y:0.19 z:1.07 acc:1.09 inst:2.01 dt:10 timee:1000 pComp:0.27 iComp:-0.01 dComp:0.00 FF:0.00 PID:0.26
512 x:0.08 y:0.19 z:1.07 acc:1.09 inst:2.05 dt:10 timee:1000 pComp:0.29 iComp:-0.01 dComp:0.00 FF:0.00 PID:0.28
522 x:0.07 y:0.22 z:1.07 acc:1.10 inst:2.09 dt:10 timee:1000 pComp:0.30 iComp:-0.01 dComp:0.00 FF:0.00 PID:0.29
531 x:0.07 y:0.22 z:1.07 acc:1.10 inst:2.12 dt:9 timee:1000 pComp:0.31 iComp:-0.00 dComp:0.00 FF:0.00 PID:0.31
540 x:0.07 y:0.22 z:1.07 acc:1.10 inst:2.16 dt:9 timee:1000 pComp:0.32 iComp:-0.00 dComp:0.00 FF:0.00 PID:0.32
550 x:0.07 y:0.23 z:1.06 acc:1.09 inst:2.20 dt:10 timee:1000 pComp:0.33 iComp:0.00 dComp:0.00 FF:0.00 PID:0.34
560 x:0.07 y:0.23 z:1.06 acc:1.09 inst:2.24 dt:10 timee:1000 pComp:0.34 iComp:0.00 dComp:0.00 FF:0.00 PID:0.35
569 x:0.07 y:0.19 z:1.07 acc:1.09 inst:2.28 dt:9 timee:1000 pComp:0.36 iComp:0.01 dComp:0.00 FF:0.00 PID:0.37
578 x:0.07 y:0.19 z:1.07 acc:1.09 inst:2.31 dt:9 timee:1000 pComp:0.37 iComp:0.01 dComp:0.00 FF:0.00 PID:0.38
587 x:0.07 y:0.19 z:1.07 acc:1.09 inst:2.35 dt:9 timee:1000 pComp:0.38 iComp:0.01 dComp:0.00 FF:0.00 PID:0.40
598 x:0.06 y:0.18 z:1.07 acc:1.09 inst:2.39 dt:11 timee:1000 pComp:0.39 iComp:0.02 dComp:0.00 FF:0.00 PID:0.41
607 x:0.06 y:0.18 z:1.07 acc:1.09 inst:2.43 dt:9 timee:1000 pComp:0.40 iComp:0.02 dComp:0.00 FF:0.00 PID:0.43
616 x:0.08 y:0.19 z:1.06 acc:1.08 inst:2.46 dt:9 timee:1000 pComp:0.41 iComp:0.03 dComp:0.00 FF:0.00 PID:0.44
625 x:0.08 y:0.19 z:1.06 acc:1.08 inst:2.50 dt:9 timee:1000 pComp:0.42 iComp:0.03 dComp:0.00 FF:0.00 PID:0.46
635 x:0.08 y:0.19 z:1.06 acc:1.08 inst:2.54 dt:10 timee:1000 pComp:0.44 iComp:0.03 dComp:0.00 FF:0.00 PID:0.47
645 x:0.08 y:0.17 z:1.06 acc:1.07 inst:2.58 dt:10 timee:1000 pComp:0.45 iComp:0.04 dComp:0.01 FF:0.00 PID:0.50
654 x:0.08 y:0.17 z:1.06 acc:1.07 inst:2.62 dt:9 timee:1000 pComp:0.46 iComp:0.04 dComp:0.00 FF:0.00 PID:0.51
663 x:0.08 y:0.17 z:1.06 acc:1.07 inst:2.65 dt:9 timee:1000 pComp:0.47 iComp:0.05 dComp:0.00 FF:0.00 PID:0.52
673 x:0.09 y:0.19 z:1.05 acc:1.07 inst:2.69 dt:10 timee:1000 pComp:0.49 iComp:0.05 dComp:0.00 FF:0.00 PID:0.54
683 x:0.09 y:0.19 z:1.05 acc:1.07 inst:2.73 dt:10 timee:1000 pComp:0.50 iComp:0.06 dComp:0.00 FF:0.00 PID:0.56
692 x:0.10 y:0.20 z:1.05 acc:1.07 inst:2.77 dt:9 timee:1000 pComp:0.51 iComp:0.06 dComp:0.00 FF:0.00 PID:0.57
701 x:0.10 y:0.20 z:1.05 acc:1.07 inst:2.80 dt:9 timee:1000 pComp:0.52 iComp:0.07 dComp:0.00 FF:0.00 PID:0.59
711 x:0.10 y:0.20 z:1.05 acc:1.07 inst:2.84 dt:10 timee:1000 pComp:0.53 iComp:0.07 dComp:0.00 FF:0.00 PID:0.61
720 x:0.08 y:0.19 z:1.05 acc:1.07 inst:2.88 dt:9 timee:1000 pComp:0.54 iComp:0.08 dComp:0.00 FF:0.00 PID:0.62
730 x:0.08 y:0.19 z:1.05 acc:1.07 inst:2.92 dt:10 timee:1000 pComp:0.55 iComp:0.08 dComp:0.00 FF:0.00 PID:0.64
740 x:0.07 y:0.15 z:1.06 acc:1.08 inst:2.96 dt:10 timee:1000 pComp:0.56 iComp:0.09 dComp:0.00 FF:0.00 PID:0.65
749 x:0.07 y:0.15 z:1.06 acc:1.08 inst:3.00 dt:9 timee:1000 pComp:0.58 iComp:0.09 dComp:0.00 FF:0.00 PID:0.67
758 x:0.07 y:0.15 z:1.06 acc:1.08 inst:3.03 dt:9 timee:1000 pComp:0.59 iComp:0.10 dComp:0.00 FF:0.00 PID:0.69
768 x:0.07 y:0.16 z:1.06 acc:1.08 inst:3.07 dt:10 timee:1000 pComp:0.60 iComp:0.10 dComp:0.00 FF:0.00 PID:0.71
777 x:0.07 y:0.16 z:1.06 acc:1.08 inst:3.11 dt:9 timee:1000 pComp:0.61 iComp:0.11 dComp:0.00 FF:0.00 PID:0.72
787 x:0.09 y:0.16 z:1.06 acc:1.08 inst:3.15 dt:10 timee:1000 pComp:0.62 iComp:0.11 dComp:0.00 FF:0.00 PID:0.74
796 x:0.09 y:0.16 z:1.06 acc:1.08 inst:3.18 dt:9 timee:1000 pComp:0.63 iComp:0.12 dComp:0.00 FF:0.00 PID:0.76
805 x:0.09 y:0.16 z:1.06 acc:1.08 inst:3.22 dt:9 timee:1000 pComp:0.64 iComp:0.13 dComp:0.00 FF:0.00 PID:0.77
816 x:0.10 y:0.17 z:1.06 acc:1.08 inst:3.26 dt:11 timee:1000 pComp:0.65 iComp:0.13 dComp:0.00 FF:0.00 PID:0.79
825 x:0.10 y:0.17 z:1.06 acc:1.08 inst:3.30 dt:9 timee:1000 pComp:0.67 iComp:0.14 dComp:0.00 FF:0.00 PID:0.81
834 x:0.10 y:0.17 z:1.06 acc:1.08 inst:3.34 dt:9 timee:1000 pComp:0.68 iComp:0.15 dComp:0.00 FF:0.00 PID:0.83
843 x:0.09 y:0.17 z:1.08 acc:1.10 inst:3.37 dt:9 timee:1000 pComp:0.68 iComp:0.15 dComp:0.00 FF:0.00 PID:0.84
853 x:0.09 y:0.17 z:1.08 acc:1.10 inst:3.41 dt:10 timee:1000 pComp:0.69 iComp:0.16 dComp:0.00 FF:0.00 PID:0.86
863 x:0.07 y:0.17 z:1.10 acc:1.11 inst:3.45 dt:10 timee:1000 pComp:0.70 iComp:0.17 dComp:0.00 FF:0.00 PID:0.87
872 x:0.07 y:0.17 z:1.10 acc:1.11 inst:3.49 dt:9 timee:1000 pComp:0.71 iComp:0.17 dComp:0.00 FF:0.00 PID:0.89
881 x:0.07 y:0.17 z:1.10 acc:1.11 inst:3.52 dt:9 timee:1000 pComp:0.72 iComp:0.18 dComp:0.00 FF:0.00 PID:0.91
891 x:0.09 y:0.17 z:1.08 acc:1.10 inst:3.56 dt:10 timee:1000 pComp:0.74 iComp:0.19 dComp:0.01 FF:0.00 PID:0.93
901 x:0.09 y:0.17 z:1.08 acc:1.10 inst:3.60 dt:10 timee:1000 pComp:0.75 iComp:0.19 dComp:0.00 FF:0.00 PID:0.95
910 x:0.10 y:0.17 z:1.07 acc:1.09 inst:3.64 dt:9 timee:1000 pComp:0.77 iComp:0.20 dComp:0.01 FF:0.00 PID:0.97
919 x:0.10 y:0.17 z:1.07 acc:1.09 inst:3.68 dt:9 timee:1000 pComp:0.78 iComp:0.21 dComp:0.00 FF:0.00 PID:0.99
928 x:0.10 y:0.17 z:1.07 acc:1.09 inst:3.71 dt:9 timee:1000 pComp:0.79 iComp:0.21 dComp:0.00 FF:0.00 PID:1.01
939 x:0.08 y:0.17 z:1.07 acc:1.09 inst:3.76 dt:11 timee:1000 pComp:0.80 iComp:0.22 dComp:0.00 FF:0.00 PID:1.03
948 x:0.08 y:0.17 z:1.07 acc:1.09 inst:3.79 dt:9 timee:1000 pComp:0.81 iComp:0.23 dComp:0.00 FF:0.00 PID:1.04
957 x:0.08 y:0.18 z:1.07 acc:1.09 inst:3.83 dt:9 timee:1000 pComp:0.82 iComp:0.24 dComp:0.00 FF:0.00 PID:1.06
966 x:0.08 y:0.18 z:1.07 acc:1.09 inst:3.86 dt:9 timee:1000 pComp:0.83 iComp:0.24 dComp:0.00 FF:0.00 PID:1.08
976 x:0.08 y:0.18 z:1.07 acc:1.09 inst:3.90 dt:10 timee:1000 pComp:0.84 iComp:0.25 dComp:0.00 FF:0.00 PID:1.10
986 x:0.08 y:0.17 z:1.07 acc:1.09 inst:3.94 dt:10 timee:1000 pComp:0.86 iComp:0.26 dComp:0.00 FF:0.00 PID:1.12
995 x:0.08 y:0.17 z:1.07 acc:1.09 inst:3.98 dt:9 timee:1000 pComp:0.87 iComp:0.27 dComp:0.00 FF:0.00 PID:1.14
1005 x:0.07 y:0.19 z:1.06 acc:1.08 inst:4.00 dt:10 timee:4000 pComp:0.87 iComp:0.27 dComp:0.00 FF:0.00 PID:1.14
1014 x:0.07 y:0.19 z:1.06 acc:1.08 inst:3.99 dt:9 timee:4000 pComp:0.87 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1024 x:0.07 y:0.19 z:1.06 acc:1.08 inst:3.98 dt:10 timee:4000 pComp:0.87 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1034 x:0.07 y:0.19 z:1.05 acc:1.07 inst:3.98 dt:10 timee:4000 pComp:0.87 iComp:0.27 dComp:0.00 FF:0.00 PID:1.14
1043 x:0.07 y:0.19 z:1.05 acc:1.07 inst:3.97 dt:9 timee:4000 pComp:0.87 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1053 x:0.07 y:0.19 z:1.07 acc:1.09 inst:3.96 dt:10 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1062 x:0.07 y:0.19 z:1.07 acc:1.09 inst:3.96 dt:9 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1072 x:0.07 y:0.19 z:1.07 acc:1.09 inst:3.95 dt:10 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1082 x:0.07 y:0.19 z:1.05 acc:1.07 inst:3.95 dt:10 timee:4000 pComp:0.86 iComp:0.27 dComp:0.00 FF:0.00 PID:1.14
1091 x:0.07 y:0.19 z:1.05 acc:1.07 inst:3.94 dt:9 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1100 x:0.07 y:0.19 z:1.05 acc:1.07 inst:3.93 dt:9 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1111 x:0.08 y:0.19 z:1.04 acc:1.06 inst:3.93 dt:11 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1120 x:0.08 y:0.19 z:1.04 acc:1.06 inst:3.92 dt:9 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1130 x:0.08 y:0.20 z:1.04 acc:1.07 inst:3.91 dt:10 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1139 x:0.08 y:0.20 z:1.04 acc:1.07 inst:3.91 dt:9 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1148 x:0.08 y:0.20 z:1.04 acc:1.07 inst:3.90 dt:9 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1159 x:0.07 y:0.19 z:1.04 acc:1.06 inst:3.89 dt:11 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1168 x:0.07 y:0.19 z:1.04 acc:1.06 inst:3.89 dt:9 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1178 x:0.06 y:0.18 z:1.04 acc:1.06 inst:3.88 dt:10 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1187 x:0.06 y:0.18 z:1.04 acc:1.06 inst:3.88 dt:9 timee:4000 pComp:0.84 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1198 x:0.06 y:0.18 z:1.04 acc:1.06 inst:3.87 dt:11 timee:4000 pComp:0.84 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1207 x:0.10 y:0.14 z:1.04 acc:1.05 inst:3.86 dt:9 timee:4000 pComp:0.84 iComp:0.27 dComp:0.00 FF:0.00 PID:1.14
1216 x:0.10 y:0.14 z:1.04 acc:1.05 inst:3.86 dt:9 timee:4000 pComp:0.84 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1226 x:0.10 y:0.16 z:1.05 acc:1.07 inst:3.85 dt:10 timee:4000 pComp:0.83 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1236 x:0.10 y:0.16 z:1.05 acc:1.07 inst:3.84 dt:10 timee:4000 pComp:0.83 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1246 x:0.10 y:0.16 z:1.05 acc:1.07 inst:3.84 dt:10 timee:4000 pComp:0.83 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1255 x:0.11 y:0.17 z:1.06 acc:1.08 inst:3.83 dt:9 timee:4000 pComp:0.83 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1264 x:0.11 y:0.17 z:1.06 acc:1.08 inst:3.82 dt:9 timee:4000 pComp:0.82 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1274 x:0.10 y:0.19 z:1.06 acc:1.09 inst:3.82 dt:10 timee:4000 pComp:0.82 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1284 x:0.10 y:0.19 z:1.06 acc:1.09 inst:3.81 dt:10 timee:4000 pComp:0.82 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1294 x:0.10 y:0.19 z:1.06 acc:1.09 inst:3.80 dt:10 timee:4000 pComp:0.82 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1303 x:0.09 y:0.14 z:1.06 acc:1.08 inst:3.80 dt:9 timee:4000 pComp:0.82 iComp:0.27 dComp:0.00 FF:0.00 PID:1.14
1313 x:0.09 y:0.14 z:1.06 acc:1.08 inst:3.79 dt:10 timee:4000 pComp:0.81 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1323 x:0.08 y:0.11 z:1.06 acc::0.27 dComp:-0.00 FF:0.00 PID:1.14
1332 x:0.08 y1.07 inst:3.78 dt:10 timee:4000 pComp:0.81 iComp:0.11 z:1.06 acc:1.07 inst:3.78 dt:9 timee:4000 pComp:0.81 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1342 x:0.08 y:0.11 z:1.06 acc:1.07 inst:3.77 dt:10 timee:4000 pComp:0.81 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1351 x:0.06 y:0.13 z:1.07 acc:1.08 inst:3.77 dt:9 timee:4000 pComp:0.81 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1361 x:0.06 y:0.13 z:1.07 acc:1.08 inst:3.76 dt:10 timee:4000 pComp:0.80 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1371 x:0.06 y:0.16 z:1.08 acc:1.09 inst:3.75 dt:10 timee:4000 pComp:0.80 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1381 x:0.06 y:0.16 z:1.08 acc:1.09 inst:3.75 dt:10 timee:4000 pComp:0.80 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1390 x:0.06 y:0.16 z:1.08 acc:1.09 inst:3.74 dt:9 timee:4000 pComp:0.79 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1400 x:0.09 y:0.20 z:1.08 acc:1.10 inst:3.73 dt:10 timee:4000 pComp:0.79 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1410 x:0.09 y:0.20 z:1.08 acc:1.10 inst:3.73 dt:10 timee:4000 pComp:0.79 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1420 x:0.07 y:0.20 z:1.07 acc:1.09 inst:3.72 dt:10 timee:4000 pComp:0.79 iComp:0.27 dComp:0.00 FF:0.00 PID:1.14
1429 x:0.07 y:0.20 z:1.07 acc:1.09 inst:3.71 dt:9 timee:4000 pComp:0.79 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1438 x:0.07 y:0.20 z:1.07 acc:1.09 inst:3.71 dt:9 timee:4000 pComp:0.79 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1449 x:0.07 y:0.20 z:1.07 acc:1.09 inst:3.70 dt:11 timee:4000 pComp:0.78 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1458 x:0.07 y:0.20 z:1.07 acc:1.09 inst:3.69 dt:9 timee:4000 pComp:0.78 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1468 x:0.07 y:0.21 z:1.06 acc:1.09 inst:3.69 dt:10 timee:4000 pComp:0.78 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1477 x:0.07 y:0.21 z:1.06 acc:1.09 inst:3.68 dt:9 timee:4000 pComp:0.78 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1486 x:0.07 y:0.21 z:1.06 acc:1.09 inst:3.68 dt:9 timee:4000 pComp:0.78 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1497 x:0.06 y:0.21 z:1.07 acc:1.09 inst:3.67 dt:11 timee:4000 pComp:0.77 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1506 x:0.06 y:0.21 z:1.07 acc:1.09 inst:3.66 dt:9 timee:4000 pComp:0.77 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1516 x:0.05 y:0.22 z:1.06 acc:1.08 inst:3.66 dt:10 timee:4000 pComp:0.77 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1525 x:0.05 y:0.22 z:1.06 acc:1.08 inst:3.65 dt:9 timee:4000 pComp:0.77 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
1535 x:0.05 y:0.22 z:1.06 acc:1.08 inst:3.64 dt:10 timee:4000 pComp:0.77 iComp:0.27 dComp:-0.00 FF:0.00 PID:1.14
