0.00RPM, 77.67avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 76.39avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 75.16avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 73.97avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 72.81avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 71.69avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 70.61avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 69.55avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 68.53avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 67.54avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 66.57avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 65.63avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 64.72avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 63.84avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 62.97avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 62.13avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 61.32avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 60.52avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 59.74avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 58.99avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 58.25avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 57.53avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 56.83avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 56.14avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 55.48avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 54.82avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 54.19avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 53.56avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 52.95avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 52.36avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 51.78avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 51.21avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 50.65avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 50.11avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 49.57avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 49.05avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 48.54avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 48.04avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 47.55avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 47.07avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 46.60avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 46.14avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 45.69avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 45.24avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 44.81avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 44.38avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 43.96avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 43.55avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 43.15avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 42.75avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 42.36avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 41.98avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 41.61avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 41.24avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 40.88avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 40.52avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 40.17avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 39.83avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 39.49avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 39.16avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 38.83avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 38.51avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 38.20avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 37.89avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 37.58avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 37.28avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 36.98avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 36.69avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 36.41avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 36.12avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 35.85avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 35.57avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 35.30avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 35.04avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 34.78avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 34.52avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 34.26avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 34.01avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 33.77avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 33.53avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 33.29avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 33.05avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 32.82avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 32.59avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 32.36avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 32.14avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 31.92avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 31.70avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 31.49avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 31.28avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 31.07avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 30.86avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 30.66avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 30.46avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 30.26avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 30.06avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 29.87avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 29.68avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 29.49avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 29.31avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 29.13avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 28.94avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 28.77avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 28.59avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 28.41avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 28.24avgRPM, 0.00V MTR_DIS NOT BRAKING
