Finished setup, waiting to start
UPLoading
1.10 1.20 3.00 1.20 5.00 2.00 4.00 0.00 
0 5000 10000 15000 20000 25000 30000 35000 
0 x:0.03 y:0.20 z:1.13 acc:1.14 inst:0.00 dt:0 timee:0 pComp:-0.11 iComp:0.00 dComp:inf PID:0.00
4 x:0.03 y:0.20 z:1.13 acc:1.14 inst:1.10 dt:4 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.28 PID:0.27
13 x:0.06 y:0.22 z:1.10 acc:1.13 inst:1.10 dt:9 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.00 PID:0.00
21 x:0.06 y:0.22 z:1.10 acc:1.13 inst:1.10 dt:8 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.00 PID:0.00
30 x:0.06 y:0.22 z:1.10 acc:1.13 inst:1.10 dt:9 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.00 PID:0.00
39 x:0.06 y:0.23 z:1.08 acc:1.10 inst:1.10 dt:9 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.00 PID:0.00
47 x:0.06 y:0.23 z:1.08 acc:1.10 inst:1.10 dt:8 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.00 PID:0.00
57 x:0.06 y:0.22 z:1.06 acc:1.08 inst:1.10 dt:10 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
65 x:0.06 y:0.22 z:1.06 acc:1.08 inst:1.10 dt:8 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
74 x:0.06 y:0.22 z:1.06 acc:1.08 inst:1.10 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
83 x:0.04 y:0.18 z:1.11 acc:1.13 inst:1.10 dt:9 timee:5000 pComp:-0.00 iComp:-0.00 dComp:-0.00 PID:0.00
91 x:0.04 y:0.18 z:1.11 acc:1.13 inst:1.10 dt:8 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.00 PID:0.00
101 x:0.04 y:0.18 z:1.11 acc:1.13 inst:1.10 dt:10 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.00 PID:0.00
110 x:0.06 y:0.19 z:1.14 acc:1.16 inst:1.10 dt:9 timee:5000 pComp:-0.01 iComp:-0.00 dComp:-0.00 PID:0.00
118 x:0.06 y:0.19 z:1.14 acc:1.16 inst:1.10 dt:8 timee:5000 pComp:-0.01 iComp:-0.00 dComp:0.00 PID:0.00
127 x:0.06 y:0.19 z:1.14 acc:1.16 inst:1.10 dt:9 timee:5000 pComp:-0.01 iComp:-0.00 dComp:0.00 PID:0.00
136 x:0.04 y:0.22 z:1.10 acc:1.13 inst:1.10 dt:9 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.00 PID:0.00
146 x:0.04 y:0.22 z:1.10 acc:1.13 inst:1.10 dt:10 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.00 PID:0.00
154 x:0.04 y:0.20 z:1.06 acc:1.08 inst:1.10 dt:8 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.01 PID:0.01
163 x:0.04 y:0.20 z:1.06 acc:1.08 inst:1.10 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
172 x:0.04 y:0.20 z:1.06 acc:1.08 inst:1.10 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
181 x:0.04 y:0.20 z:1.06 acc:1.08 inst:1.10 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
190 x:0.04 y:0.20 z:1.06 acc:1.08 inst:1.10 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
198 x:0.04 y:0.20 z:1.06 acc:1.08 inst:1.10 dt:8 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
