5	8.08	1.80
18415	6.73	8.10	1.81
18427	6.73	8.11	1.82
18440	6.67	8.13	1.84
18454	6.67	8.14	1.84
18467	6.78	8.16	1.82
18480	6.78	8.18	1.83
18494	6.89	8.19	1.80
18507	6.89	8.21	1.81
18520	6.87	8.22	1.82
18534	6.87	8.24	1.83
18547	6.78	8.26	1.85
18560	6.81	8.27	1.85
18574	6.81	8.29	1.86
18587	6.93	8.30	nan
18599	6.93	8.32	1.84
18612	7.12	8.33	1.80
18626	7.12	8.35	1.80
18639	7.22	8.37	1.78
18652	7.22	8.38	1.79
18666	6.83	8.40	1.89
18679	6.83	8.41	1.90
18692	6.65	8.43	1.95
18705	6.69	8.45	1.94
18718	6.69	8.46	1.95
18731	6.83	8.48	1.92
18745	6.83	8.49	1.93
18758	7.01	8.51	nan
18771	7.01	8.53	1.89
18784	7.11	8.54	1.87
18798	7.11	8.56	1.88
18810	7.22	8.57	1.85
18823	7.22	8.59	1.86
18837	7.29	8.60	1.85
18850	7.33	8.62	1.84
