Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
0.00 
5000 
Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 15000 20000 
289 x:0.06 y:0.21 z:1.09 acc:1.11 inst:1.16 dt:9 timee:1000 pComp:0.01 iComp:-0.04 dComp:0.00 FF:nan PID:0.00
298 x:0.06 y:0.21 z:1.09 acc:1.11 inst:1.19 dt:9 timee:1000 pComp:0.02 iComp:-0.04 dComp:0.00 FF:nan PID:0.00
308 x:0.06 y:0.21 z:1.09 acc:1.11 inst:1.23 dt:10 timee:1000 pComp:0.04 iComp:-0.04 dComp:0.00 FF:nan PID:0.00
318 x:0.04 y:0.20 z:1.09 acc:1.11 inst:1.27 dt:10 timee:1000 pComp:0.05 iComp:-0.04 dComp:0.00 FF:nan PID:0.01
327 x:0.04 y:0.20 z:1.09 acc:1.11 inst:1.31 dt:9 timee:1000 pComp:0.06 iComp:-0.04 dComp:0.00 FF:nan PID:0.02
336 x:0.06 y:0.19 z:1.07 acc:1.09 inst:1.34 dt:9 timee:1000 pComp:0.08 iComp:-0.04 dComp:0.01 FF:nan PID:0.04
345 x:0.06 y:0.19 z:1.07 acc:1.09 inst:1.38 dt:9 timee:1000 pComp:0.09 iComp:-0.04 dComp:0.00 FF:nan PID:0.05
356 x:0.06 y:0.19 z:1.07 acc:1.09 inst:1.42 dt:11 timee:1000 pComp:0.10 iComp:-0.04 dComp:0.00 FF:nan PID:0.07
365 x:0.07 y:0.19 z:1.07 acc:1.09 inst:1.46 dt:9 timee:1000 pComp:0.11 iComp:-0.04 dComp:0.00 FF:nan PID:0.08
374 x:0.07 y:0.19 z:1.07 acc:1.09 inst:1.50 dt:9 timee:1000 pComp:0.12 iComp:-0.04 dComp:0.00 FF:nan PID:0.09
383 x:0.07 y:0.19 z:1.07 acc:1.09 inst:1.53 dt:9 timee:1000 pComp:0.13 iComp:-0.04 dComp:0.00 FF:nan PID:0.10
394 x:0.06 y:0.21 z:1.07 acc:1.09 inst:1.58 dt:11 timee:1000 pComp:0.14 iComp:-0.04 dComp:0.00 FF:nan PID:0.11
403 x:0.06 y:0.21 z:1.07 acc:1.09 inst:1.61 dt:9 timee:1000 pComp:0.16 iComp:-0.03 dComp:0.00 FF:nan PID:0.13
412 x:0.08 y:0.20 z:1.07 acc:1.10 inst:1.65 dt:9 timee:1000 pComp:0.17 iComp:-0.03 dComp:0.00 FF:nan PID:0.14
421 x:0.08 y:0.20 z:1.07 acc:1.10 inst:1.68 dt:9 timee:1000 pComp:0.18 iComp:-0.03 dComp:0.00 FF:nan PID:0.15
430 x:0.08 y:0.20 z:1.07 acc:1.10 inst:1.72 dt:9 timee:1000 pComp:0.19 iComp:-0.03 dComp:0.00 FF:nan PID:0.16
441 x:0.07 y:0.22 z:1.07 acc:1.09 inst:1.76 dt:11 timee:1000 pComp:0.20 iComp:-0.03 dComp:0.00 FF:nan PID:0.18
450 x:0.07 y:0.22 z:1.07 acc:1.09 inst:1.80 dt:9 timee:1000 pComp:0.21 iComp:-0.03 dComp:0.00 FF:nan PID:0.19
459 x:0.07 y:0.20 z:1.06 acc:1.08 inst:1.84 dt:9 timee:1000 pComp:0.23 iComp:-0.02 dComp:0.01 FF:nan PID:0.21
468 x:0.07 y:0.20 z:1.06 acc:1.08 inst:1.87 dt:9 timee:1000 pComp:0.24 iComp:-0.02 dComp:0.00 FF:nan PID:0.22
479 x:0.07 y:0.20 z:1.06 acc:1.08 inst:1.92 dt:11 timee:1000 pComp:0.25 iComp:-0.02 dComp:0.00 FF:nan PID:0.24
488 x:0.06 y:0.20 z:1.06 acc:1.08 inst:1.95 dt:9 timee:1000 pComp:0.26 iComp:-0.02 dComp:0.00 FF:nan PID:0.25
497 x:0.06 y:0.20 z:1.06 acc:1.08 inst:1.99 dt:9 timee:1000 pComp:0.27 iComp:-0.01 dComp:0.00 FF:nan PID:0.26
507 x:0.07 y:0.21 z:1.05 acc:1.07 inst:2.03 dt:10 timee:1000 pComp:0.29 iComp:-0.01 dComp:0.00 FF:nan PID:0.28
516 x:0.07 y:0.21 z:1.05 acc:1.07 inst:2.06 dt:9 timee:1000 pComp:0.30 iComp:-0.01 dComp:0.00 FF:nan PID:0.29
526 x:0.07 y:0.21 z:1.05 acc:1.07 inst:2.10 dt:10 timee:1000 pComp:0.31 iComp:-0.01 dComp:0.00 FF:nan PID:0.31
535 x:0.11 y:0.18 z:1.07 acc:1.09 inst:2.14 dt:9 timee:1000 pComp:0.32 iComp:-0.00 dComp:0.00 FF:nan PID:0.32
544 x:0.11 y:0.18 z:1.07 acc:1.09 inst:2.18 dt:9 timee:1000 pComp:0.33 iComp:0.00 dComp:0.00 FF:nan PID:0.33
554 x:0.11 y:0.18 z:1.07 acc:1.09 inst:2.22 dt:10 timee:1000 pComp:0.34 iComp:0.00 dComp:0.00 FF:nan PID:0.35
564 x:0.11 y:0.18 z:1.07 acc:1.09 inst:2.26 dt:10 timee:1000 pComp:0.35 iComp:0.01 dComp:0.00 FF:nan PID:0.36
573 x:0.11 y:0.18 z:1.07 acc:1.09 inst:2.29 dt:9 timee:1000 pComp:0.36 iComp:0.01 dComp:0.00 FF:nan PID:0.37
582 x:0.08 y:0.19 z:1.08 acc:1.10 inst:2.33 dt:9 timee:1000 pComp:0.37 iComp:0.01 dComp:0.00 FF:nan PID:0.39
591 x:0.08 y:0.19 z:1.08 acc:1.10 inst:2.36 dt:9 timee:1000 pComp:0.38 iComp:0.02 dComp:0.00 FF:nan PID:0.40
